_id,mid,general_description,city,country,start_date,end_date,mstatus,tid,agents[0],agents[1],agents[2],agents[3],agents[4],agents[5],agents[6],agents[7],agents[8],agents[9],agents[10],agents[11],agents[12],agents[13],assets[0],assets[1],assets[2],assets[3],assets[4],assets[5],assets[6],assets[7],assets[8],assets[9],assets[10],assets[11],assets[12],assets[13],assets[14],assets[15],assets[16],assets[17],assets[18],assets[19],assets[20],assets[21],assets[22],assets[23],assets[24]
6618a707216a4bb1719b5258,1,989 994 8328,Port Sudan,SD,2005-7-25,2006-11-3,completed,1,2769,2844,,,,,,,,,,,,,5797,7612,1423,7523,1702,2383,,,,,,,,,,,,,,,,,,,
6618a707216a4bb1719b5259,998,813 574 3007,Port Sudan,SD,2006-6-19,2020-5-15,completed,998,1536,8347,3047,4417,7677,2079,7332,4895,,,,,,,8869,5897,7066,6378,7484,980,9821,5635,,,,,,,,,,,,,,,,,
6618a707216a4bb1719b525a,8,862 106 3687,Qazax,AZ,2008-8-10,2031-8-18,reconnaissance,8,4642,9183,,,,,,,,,,,,,5155,5514,5787,204,2980,3400,,,,,,,,,,,,,,,,,,,
6618a707216a4bb1719b525b,9,880 399 1546,Daguyun,CN,2020-3-26,2034-3-17,undercover surveillance,9,6517,8553,9981,1441,,,,,,,,,,,6749,858,8621,,,,,,,,,,,,,,,,,,,,,,
6618a707216a4bb1719b525c,10,537 470 2706,Hedaru,TZ,2011-6-20,2034-9-9,cancelled,10,7511,,,,,,,,,,,,,,7406,6582,3490,,,,,,,,,,,,,,,,,,,,,,
6618a707216a4bb1719b525d,13,716 809 6812,Enskede,SE,2014-11-5,2034-6-4,compromised,13,6994,6731,,,,,,,,,,,,,9128,3492,3506,9953,1554,3139,,,,,,,,,,,,,,,,,,,
6618a707216a4bb1719b525e,5,751 829 8387,Yongyang,CN,2012-7-22,2018-2-1,completed,5,3188,5870,3498,5273,,,,,,,,,,,8449,5768,9300,5358,7388,,,,,,,,,,,,,,,,,,,,
6618a707216a4bb1719b525f,15,773 395 1141,Mariinsk,RU,2005-3-8,2024-9-2,surveillance,15,9952,2494,7198,1617,3090,5397,4213,8464,6070,,,,,,5531,3836,9951,3742,9492,2173,1384,8393,,,,,,,,,,,,,,,,,
6618a707216a4bb1719b5260,11,608 788 1999,Muricay,PH,2017-1-20,2018-3-11,completed,11,2322,,,,,,,,,,,,,,7210,3167,2009,6106,,,,,,,,,,,,,,,,,,,,,
6618a707216a4bb1719b5261,12,167 774 9942,Nadi,FJ,2008-11-2,2022-2-18,completed,12,759,3274,3848,3099,,,,,,,,,,,1810,6604,2601,8425,2693,,,,,,,,,,,,,,,,,,,,
6618a708216a4bb1719b5262,19,787 134 5855,Karvia,FI,2006-8-12,2017-9-9,completed,19,861,1116,9595,713,5251,9650,1134,,,,,,,,9199,205,3661,2676,,,,,,,,,,,,,,,,,,,,,
6618a708216a4bb1719b5263,20,496 635 9824,Ludvika,SE,2011-6-28,2017-8-13,completed,20,1633,4254,,,,,,,,,,,,,7659,8415,1550,451,,,,,,,,,,,,,,,,,,,,,
6618a708216a4bb1719b5264,23,745 870 5992,Miskolc,HU,2015-6-5,2029-4-28,covert,23,7626,3357,1888,2505,7957,8718,7863,3300,,,,,,,7898,258,2721,,,,,,,,,,,,,,,,,,,,,,
