_id,tid,ttype,tdescription
661a9229a9b8e3131b10f9cc,1,double agent,93-359-6875
661a922aa9b8e3131b10f9cd,2,environmental threat,93-571-7779
661a922aa9b8e3131b10f9ce,3,hostile nation,73-271-1950
661a922aa9b8e3131b10f9cf,4,nuclear proliferator,93-978-0194
661a922aa9b8e3131b10f9d0,5,nuclear proliferator,40-434-9442
661a922aa9b8e3131b10f9d1,6,global surveillance network,24-009-9299
661a922aa9b8e3131b10f9d2,7,environmental threat,13-812-4379
661a922aa9b8e3131b10f9d3,8,alien threat,76-837-8514
661a922aa9b8e3131b10f9d4,9,high-value individual,17-417-8941
661a922aa9b8e3131b10f9d5,10,environmental threat,90-808-7244
661a922aa9b8e3131b10f9d6,11,espionage network,92-118-9658
661a922aa9b8e3131b10f9d7,12,nuclear proliferator,00-770-1630
661a922aa9b8e3131b10f9d8,13,high-value individual,59-099-1314
661a922aa9b8e3131b10f9d9,14,radicalized movement,76-069-4625
661a922aa9b8e3131b10f9da,15,kidnapper,74-114-1957
661a922aa9b8e3131b10f9db,16,cyber threat,92-484-9991
661a922aa9b8e3131b10f9dc,17,scientific target,09-234-6343
661a922aa9b8e3131b10f9dd,18,alien threat,87-265-6565
661a922aa9b8e3131b10f9de,19,kidnapper,34-139-7086
661a922aa9b8e3131b10f9df,20,extremist ideology,52-432-9129
661a922aa9b8e3131b10f9e0,21,rogue agent,51-801-1858
661a922aa9b8e3131b10f9e1,22,traitor,01-162-8800
661a922aa9b8e3131b10f9e2,23,high-value individual,30-980-3555
661a922aa9b8e3131b10f9e3,24,extremist ideology,14-378-4405
661a922aa9b8e3131b10f9e4,25,assassination contract,62-317-7046
661a922aa9b8e3131b10f9e5,26,terrorist leader,18-297-8882
661a922aa9b8e3131b10f9e6,27,terrorist leader,31-900-3971
661a922ba9b8e3131b10f9e7,28,kidnapper,73-348-9951
661a922ba9b8e3131b10f9e8,29,radicalized movement,16-628-9513
661a922ba9b8e3131b10f9e9,30,hostile nation,77-549-9944
661a922ba9b8e3131b10f9ea,31,cyber threat,94-228-8416
661a922ba9b8e3131b10f9eb,32,kidnapper,41-148-0653
661a922ba9b8e3131b10f9ec,33,kidnapper,41-726-6834
661a922ba9b8e3131b10f9ed,34,traitor,98-355-9066
661a922ba9b8e3131b10f9ee,35,infiltrated government agency,93-054-1650
661a922ba9b8e3131b10f9ef,36,environmental threat,88-390-9100
661a922ba9b8e3131b10f9f0,37,radicalized movement,90-066-3909
661a922ba9b8e3131b10f9f1,38,global surveillance network,87-021-8581
661a922ba9b8e3131b10f9f2,39,double agent,06-418-1771
661a922ba9b8e3131b10f9f3,40,hostile nation,00-729-2670
661a922ba9b8e3131b10f9f4,41,criminal kingpin,09-315-5498
661a922ba9b8e3131b10f9f5,42,corrupt corporation,87-235-4343
661a922ba9b8e3131b10f9f6,43,high-value individual,64-268-2543
661a922ba9b8e3131b10f9f7,44,global surveillance network,13-650-4325
661a922ba9b8e3131b10f9f8,45,traitor,78-976-8970
661a922ba9b8e3131b10f9f9,46,kidnapper,22-197-2518
661a922ba9b8e3131b10f9fa,47,alien threat,30-897-4202
661a922ba9b8e3131b10f9fb,48,espionage network,28-274-5708
661a922ba9b8e3131b10f9fc,49,environmental threat,34-281-3155
661a922ba9b8e3131b10f9fd,50,hostile nation,95-396-8658
