0,1,2,3
supplier 0,secure walkie-talkie,19XFA1F37BE809861,surveillance mode
supplier 0,encryption device,3C63D2GL1CG616651,recalled
supplier 0,secure messaging app,1GD02ZCG5BF229681,undergoing training
supplier 1,secure messaging app,SALAB2D47BA449589,undergoing training
supplier 3,radio backpack,WBA3B9G5XFN244681,reserve
supplier 1,secure tablet,1GYFC66848R396789,temporary storage
supplier 2,secure tablet,1G4GA5GR3FF048736,undergoing training
supplier 4,secure walkie-talkie,1N4AA5AP2AC254423,under evaluation
supplier 4,secure smartphone,JTDKN3DU7B0259029,destroyed
supplier 0,voice changer device,WAUVT54B33N399853,undergoing upgrades
supplier 0,encryption device,WAUJC58E62A319745,standby
supplier 2,voice changer device,SCFAB22332K578006,inactive
supplier 1,voice changer device,JN8AZ2KR5ET003648,standby
supplier 3,secure laptop,KNADM4A38E6514427,under analysis
supplier 1,covert watch,SCBBR53W26C845521,undergoing testing
supplier 0,secure tablet,1G6DH577190769374,temporary storage
supplier 3,covert pen,JN1AZ4EH2EM754214,emergency standby
supplier 4,secure tablet,5N1BA0NC3FN561194,awaiting deployment
supplier 4,tactical radio,WA1WMAFE1FD342382,lost in action
supplier 4,secure walkie-talkie,2G4WC562X51594255,under analysis
supplier 0,secure laptop,JTDKTUD39ED439242,destroyed
supplier 0,secure backpack,JM3KE2BE4E0994813,in transit
supplier 1,covert pen,JN1BY0AR7AM767047,undergoing training
supplier 0,tactical headset,WUAUUAFG9CN738406,destroyed
supplier 4,secure wi-fi hotspot,3N1AB6AP3AL054431,surveillance mode
supplier 4,secure messaging app,1GKS1EEFXBR206249,under maintenance
supplier 2,data transmitter,3C63DRBL5CG918007,active
supplier 0,data encryption module,137ZA84391E225595,under analysis
supplier 3,tactical radio,3D7TT2CT1BG440464,under repair
supplier 2,radio backpack,1G4HP52K83U155768,standby
supplier 0,data encryption module,JN1CV6EKXCM091385,reserve
supplier 0,secure messaging app,WBANU53519B994879,critical condition
supplier 3,encryption device,3VW467AT8DM265766,undergoing testing
supplier 3,handheld transceiver,1N6AD0CU9EN933054,emergency standby
supplier 2,secure backpack,JTDKDTB35D1384136,in transit
supplier 0,secure smartphone,1GYFK33239R351491,temporary storage
supplier 3,tactical headset,5FNYF3H22DB145962,under maintenance
supplier 1,tactical antenna,5UMDU93547L494417,critical condition
supplier 4,radio backpack,5FPYK1F45CB142242,retired
supplier 3,voice changer device,19UUA9F77EA757200,awaiting deployment
supplier 0,secure messaging app,JN1CV6AR8FM888273,reassigned
supplier 1,secure tablet,1G6DM1ED4B0304980,critical condition
supplier 4,encryption device,1FTMF1E86AK499698,inactive
supplier 4,secure wi-fi hotspot,1N6AF0KY9FN916271,undergoing training
supplier 1,covert watch,WA1AV74L27D469736,lost in action
supplier 3,tactical headset,WBAVC73537A673427,under maintenance
supplier 1,covert pen,WAUCH74F39N027221,undergoing training
supplier 4,secure tablet,KNADN5A32F6634423,undergoing testing
supplier 1,encryption device,1C4PJLAB4FW501170,reassigned
supplier 4,covert pen,KMHCT4AE8FU865527,under repair
supplier 2,covert watch,1FMJK1K58AE741068,reassigned
supplier 4,tactical headset,1B3CB1HA9BD980013,destroyed
supplier 1,voice changer device,19UUA8F37DA709542,lost in action
supplier 1,tactical radio,1FM5K7B82FG065162,undergoing upgrades
supplier 0,data transmitter,YV1952AS6E1248303,under repair
supplier 2,tactical headset,SALVP2BG8FH101281,temporary storage
supplier 2,tactical antenna,WBA3V9C55F5790429,reserve
supplier 1,covert watch,1N6AD0CU6FN791375,under analysis
supplier 0,secure walkie-talkie,WP0AA2A98CS130742,reserve
supplier 2,secure messaging app,1GYS3PKJ3FR192138,inactive
supplier 3,encryption device,3D73M3CL0BG162160,critical condition
supplier 3,radio earpiece,19UUA656X4A302184,recalled
supplier 1,tactical headset,4T1BK3DB5AU644051,in transit
supplier 4,data transmitter,1G4PT5SV5D4142656,destroyed
supplier 2,satellite phone,WBAAV33411F526252,inactive
supplier 0,satellite phone,2G4GL5EXXE9352407,recalled
supplier 4,secure messaging app,WBAVC73537A032746,undergoing training
supplier 0,secure laptop,1G6AC5SX0D0157457,in transit
supplier 2,secure walkie-talkie,1G6KD57Y69U909231,awaiting deployment
supplier 4,tactical headset,WBAKX8C55CC080101,covert operation
supplier 0,secure wi-fi hotspot,WAUMGAFL9AA578868,undergoing testing
supplier 3,data encryption module,WBAUP7C55AV993736,inactive
supplier 2,radio earpiece,KNADM5A30E6510247,critical condition
supplier 2,data transmitter,JM1DE1HY3B0347473,awaiting deployment
supplier 4,handheld transceiver,1GD21XEG4FZ103605,under repair
supplier 1,covert watch,5TFBM5F14AX744896,reserve
supplier 4,secure messaging app,WAUWFBFL1AA969868,under maintenance
supplier 0,secure smartphone,WBALL5C54FP286358,reassigned
supplier 4,data transmitter,1G6AU5S80F0719480,under repair
supplier 4,covert watch,WBAHL83576D324674,under maintenance
supplier 3,satellite phone,1FTMF1CW5AF629643,retired
supplier 1,data transmitter,SCFAD02A46G093279,standby
supplier 4,secure messaging app,JN1AZ4FH9FM810794,temporary storage
supplier 1,radio backpack,JHMFA3F21AS930589,under maintenance
supplier 0,radio earpiece,WBALM53599E936556,lost in action
supplier 2,secure walkie-talkie,1N6AA0CA5AN165775,undergoing upgrades
supplier 2,covert pen,1D7RW3BK6AS505686,under analysis
supplier 3,data transmitter,JN8AZ1MU3DW982188,in development
supplier 1,secure messaging app,JA32U2FU4FU845792,undergoing upgrades
supplier 3,data encryption module,1GYS3MKJ5FR358819,reassigned
supplier 1,secure backpack,WBAGL634X3D752449,awaiting deployment
supplier 1,tactical antenna,WAUAGAFD4EN595653,reserve
supplier 0,satellite phone,JN8AE2KP9F9267027,undergoing upgrades
supplier 4,covert watch,5NPDH4AEXEH674940,standby
supplier 1,secure tablet,4JGDF2EE9EA566400,undergoing training
supplier 4,covert watch,3CZRE3H53BG499332,undergoing upgrades
supplier 3,data encryption module,KNDMB5C17F6314103,under repair
supplier 4,secure backpack,WUARL48H36K670934,undergoing training
supplier 0,voice changer device,1FTEW1E83AK067364,undergoing testing
supplier 4,tactical headset,3C4PDDBGXET076033,undergoing testing
supplier 0,secure smartphone,SCBGR3ZA1DC545259,under analysis
supplier 4,tactical antenna,1D7CW3GK9AS529821,reassigned
supplier 4,secure laptop,1C6RD6KPXCS067567,under maintenance
supplier 0,secure tablet,3GYFNEEY3BS554548,under maintenance
supplier 4,secure smartphone,KMHHU6KJ9FU087457,retired
supplier 4,secure tablet,JH4DC23991S184759,under evaluation
supplier 1,secure messaging app,2G4WC582971290012,surveillance mode
supplier 3,tactical antenna,1N4AL3AP8DC656286,in development
supplier 0,data transmitter,1FTEW1CF1FK604175,under maintenance
supplier 4,satellite phone,WBAWV13538P523750,under evaluation
supplier 0,satellite phone,5J6TF1H31EL875717,in development
supplier 2,covert pen,WDCYC3HF5BX689476,destroyed
supplier 0,radio backpack,1HGCP2E7XAA171717,undergoing testing
supplier 4,handheld transceiver,19UUA66265A238075,under repair
supplier 2,data transmitter,WBAPH5C58BA519495,destroyed
supplier 2,data encryption module,3C63DPKL5CG522146,under maintenance
supplier 1,tactical headset,WAUDF98E08A276640,in development
supplier 0,secure tablet,KMHHT6KD4BU470472,under evaluation
supplier 1,secure laptop,2HKRM3H35EH302308,lost in action
supplier 2,voice changer device,4T3BA3BB9BU106130,undergoing training
supplier 4,radio earpiece,KMHFC4DD8BA818557,covert operation
supplier 2,encryption device,WBALL5C59EE165674,destroyed
supplier 0,secure walkie-talkie,WAUGL78E48A571086,emergency standby
supplier 2,voice changer device,WVGAV7AXXAW951407,active
supplier 4,radio backpack,KNAFT4A24B5234105,active
supplier 3,handheld transceiver,3C63DPJL0CG453867,under maintenance
supplier 0,secure backpack,JM3TB2BA1B0796499,in transit
supplier 4,secure messaging app,KMHGC4DD3CU033657,under maintenance
supplier 3,encryption device,1C3CDZAB3CN018008,lost in action
supplier 3,satellite phone,JM1DE1KY0D0416793,emergency standby
supplier 1,secure messaging app,3C63D3EL8CG599193,active
supplier 1,satellite phone,WBAKP9C57FD512983,active
supplier 1,handheld transceiver,KNDMA5C13F6094669,reserve
supplier 3,voice changer device,WUARL48H18K531923,inactive
supplier 1,radio backpack,WBAUN9C52AV269309,covert operation
supplier 1,secure wi-fi hotspot,WAUEFAFL4BA153387,active
supplier 2,secure tablet,1FMCU4K36AK009414,recalled
supplier 0,data transmitter,WAULT68E35A160461,covert operation
supplier 4,encryption device,3C63DRNL3CG308750,emergency standby
supplier 4,tactical antenna,2HNYD28827H788020,retired
supplier 2,secure tablet,WBA3N9C54EF037032,awaiting deployment
supplier 3,encryption device,SCFAD01EX9G162744,temporary storage
supplier 0,covert watch,WAUFFAFL7CA296016,reserve
supplier 3,covert watch,WBAWB73579P983720,emergency standby
supplier 1,encryption device,KMHHU6KJ2FU419707,in transit
supplier 4,secure tablet,WBA3C3C56FK096515,undergoing upgrades
supplier 0,handheld transceiver,WVWBN7AN4FE217589,temporary storage
supplier 0,data encryption module,3VW1K7AJ6BM270944,undergoing training
supplier 1,covert watch,1G6KE57Y02U468893,critical condition
supplier 1,secure walkie-talkie,SAJWA8JH6EM989191,under analysis
supplier 3,secure walkie-talkie,3C3CFFER1FT083542,awaiting deployment
supplier 1,satellite phone,WBA3B5C56DP553936,recalled
supplier 1,tactical antenna,WBAFV3C50ED532768,temporary storage
supplier 4,voice changer device,1G6DA8EG9A0881532,covert operation
supplier 2,encryption device,1G6DP5E32C0750858,inactive
supplier 2,secure wi-fi hotspot,1FTSW2B5XAE660169,active
supplier 2,secure wi-fi hotspot,KNDKG3A29A7833987,awaiting deployment
supplier 1,radio earpiece,1C3BC7EG6BN533642,awaiting deployment
supplier 3,encryption device,1GYS3DEF0ER588628,reserve
supplier 3,secure smartphone,JH4DC53004S189694,reserve
supplier 2,covert pen,WAUEFAFL9BA301727,under evaluation
supplier 3,satellite phone,WBSBL93463J455655,critical condition
supplier 4,data encryption module,1FTKR1ADXBP351009,reassigned
supplier 2,tactical radio,1FTWX3A51AE464899,inactive
supplier 1,radio backpack,JN8AE2KP6D9031660,in transit
supplier 4,covert watch,1GT3C0BG1AF900256,under analysis
supplier 0,covert pen,WBA3R1C53FK214538,undergoing upgrades
supplier 4,satellite phone,WAUWGBFB9BN155689,temporary storage
supplier 2,data transmitter,1HGCP2E38AA000199,covert operation
supplier 2,secure tablet,JTHBE5C20D5039800,lost in action
supplier 1,encryption device,1G6KE57Y23U954090,emergency standby
supplier 1,covert watch,1N6AA0ED1FN420999,critical condition
supplier 3,covert watch,JHMGE8G30BC849186,in transit
supplier 3,covert watch,WBA3V5C53FP731246,undergoing training
supplier 4,encryption device,4JGBB2FB2BA425316,undergoing testing
supplier 2,tactical antenna,SALFR2BN4BH351253,retired
supplier 3,voice changer device,WAUKD78P59A273835,temporary storage
supplier 2,data transmitter,3C4PDDAGXFT342394,under maintenance
supplier 2,radio earpiece,WBAEJ13402A630070,critical condition
supplier 1,tactical antenna,WA1LGAFE7CD987270,lost in action
supplier 3,covert pen,JN8AZ2KR9ET258481,reassigned
supplier 4,tactical headset,1N6AF0LX0FN217147,under maintenance
supplier 1,secure backpack,WAU2GAFC4DN878113,reserve
supplier 4,secure messaging app,WAUKF78E65A922769,standby
supplier 1,radio backpack,WAUVFAFH8DN537230,recalled
supplier 4,data transmitter,1G6AC5S33E0500566,destroyed
supplier 3,secure tablet,WA1CMAFP3EA265745,inactive
supplier 4,secure smartphone,WBA5A7C52FG380958,reserve
supplier 4,tactical antenna,SAJWA6E71E8045071,lost in action
supplier 4,encryption device,JTJBARBZ0F2340359,covert operation
supplier 1,tactical radio,3VW467AT9CM112117,surveillance mode
supplier 1,secure backpack,WAUWGAFCXFN125027,under maintenance
supplier 4,secure wi-fi hotspot,WAUAT48H25K576906,under repair
supplier 4,radio earpiece,3D73Y3CL6BG891722,emergency standby
supplier 0,tactical antenna,KMHFG4JG8DA460561,undergoing testing
supplier 2,satellite phone,1GTG5AEAXF1738852,undergoing training
supplier 3,voice changer device,JN8AZ2KR5AT082412,under evaluation
supplier 0,secure messaging app,WBAYE4C52ED564782,critical condition
