0,1,2,3
supplier 4,secure tablet,JM1CR2W33A0660244,destroyed
supplier 2,voice changer device,WBAKB8C58AC873243,under maintenance
supplier 0,data encryption module,KNAFX5A8XF5483349,standby
supplier 1,secure wi-fi hotspot,WAULD64B43N665729,under maintenance
supplier 2,handheld transceiver,1FTSX2A58AE068588,inactive
supplier 0,tactical antenna,1G6DC5EG5A0580880,reassigned
supplier 4,radio earpiece,SCBET9ZA1F8663023,lost in action
supplier 4,secure tablet,WA1LMAFE6ED021634,under maintenance
supplier 3,secure backpack,WAUGL78E68A618411,critical condition
supplier 3,data transmitter,1GKS1KE03CR033802,critical condition
supplier 3,encryption device,JN8AS5MT1DW943750,recalled
supplier 2,secure tablet,5N1AT2ML8EC791908,under analysis
supplier 0,secure laptop,WBSWD935X9P818150,emergency standby
supplier 2,secure wi-fi hotspot,KMHTC6AD2DU615443,under evaluation
supplier 2,secure walkie-talkie,JN8AZ1FY5CW286415,reassigned
supplier 2,covert pen,1C4RJEAG4DC547712,under maintenance
supplier 1,covert pen,1FMJK1G58CE722547,under maintenance
supplier 0,tactical headset,JTEBU5JRXF5340917,retired
supplier 4,data encryption module,JTDZN3EU5D3635564,recalled
supplier 4,handheld transceiver,1G6AX5S33E0561517,under analysis
supplier 0,secure tablet,TRUXD38J991829065,undergoing testing
supplier 3,data encryption module,WAULC68E33A708665,under analysis
supplier 2,satellite phone,1G6AA5RA2E0989374,standby
supplier 3,secure laptop,5N1CR2MM0EC308220,under repair
supplier 1,covert watch,JM3ER2A55C0215175,surveillance mode
supplier 0,data transmitter,3D7LT2ET1BG642539,in transit
supplier 2,secure laptop,4USDU53548L359429,temporary storage
supplier 1,secure laptop,3D7TT2CT2BG393056,under evaluation
supplier 4,secure backpack,SALVP2BG6FH727783,awaiting deployment
supplier 0,secure messaging app,1N6BF0KL8FN221305,reassigned
supplier 4,data transmitter,2G4WD562651666212,in transit
supplier 4,secure wi-fi hotspot,YV440MBD8F1655645,under repair
supplier 1,tactical radio,1FMCU5K39AK211069,in development
supplier 4,secure backpack,SCFAB02A47G666396,in development
supplier 1,secure walkie-talkie,WAUBF78E76A031746,under analysis
supplier 4,handheld transceiver,JN8AZ1MU9CW854424,temporary storage
supplier 1,tactical radio,WA1DKBFP9CA660560,in development
supplier 1,tactical radio,1G6DP577050519220,under repair
supplier 4,radio backpack,4F2CY0C79AK387507,in development
supplier 2,secure smartphone,WBAXH5C57CD488059,in development
supplier 2,radio backpack,2C4RDGCG1CR399976,under maintenance
supplier 1,handheld transceiver,2HNYD18492H608290,undergoing testing
supplier 4,satellite phone,3VW1K7AJ7FM370668,covert operation
supplier 4,covert pen,1LNHL9DR9BG779752,lost in action
supplier 3,secure wi-fi hotspot,4T1BF1FK8CU741205,emergency standby
supplier 4,handheld transceiver,3G5DB03EX2S704020,in transit
supplier 3,encryption device,WAUAT48H45K083857,awaiting deployment
supplier 1,data encryption module,KMHGN4JE3FU690373,temporary storage
supplier 1,secure tablet,YV1902AH3B1533314,under analysis
supplier 0,satellite phone,5N1AN0NW0EN071319,undergoing training
supplier 2,tactical headset,WBALW3C56EC987615,in transit
supplier 3,voice changer device,JN8AZ2NCXD9712515,under analysis
supplier 2,covert watch,WA1EY74L38D757078,undergoing upgrades
supplier 2,tactical antenna,WAUKF68E05A816859,reserve
supplier 1,radio backpack,WBAWB73578P663439,destroyed
supplier 3,secure walkie-talkie,1G4HP57M89U756035,lost in action
supplier 4,radio earpiece,1GD312CG8CF752377,lost in action
supplier 1,tactical radio,WBADR634X2G208189,surveillance mode
