0,1,2,3
supplier 0,frost,3VWJP7AT2CM674053,lost in action
supplier 1,fortress,WBAUN1C53AV678386,under maintenance
supplier 2,summit,WP0CA2A85AU345979,lost in action
supplier 2,mirage,1C3CDFEB7FD535668,under analysis
supplier 0,manor,1C6RD6LP7CS856290,destroyed
supplier 3,cabin,WBA3B5G53EN960524,in transit
supplier 0,bastion,JN8AS5MT9AW932670,recalled
supplier 1,tower,WAUMV44E67N004502,under maintenance
supplier 3,depot,WAULFAFR8EA126032,undergoing training
supplier 3,nexus,WAUAFAFL5EA911367,awaiting deployment
supplier 0,beacon,4T1BF3EK0AU278356,inactive
supplier 0,tower,3D73M4HL9BG759208,retired
supplier 1,cabin,WA1MMBFE1AD979424,under repair
supplier 4,vault,WBADS33462G647523,in transit
supplier 4,beacon,3N1AB7AP8FY104451,inactive
supplier 1,isle,JN1AJ0HP6BM370046,destroyed
supplier 2,nexus,1G6KF57993U777513,under evaluation
supplier 4,shrine,WAUAT48H64K447128,undergoing upgrades
supplier 2,depot,1GYS4HEF8CR619335,surveillance mode
supplier 1,nexus,1G6DE5EG7A0878566,under evaluation
supplier 4,beacon,1G4GA5ER3CF226174,temporary storage
supplier 1,mirage,WAUJT64B94N792469,temporary storage
supplier 1,lodge,1G6AB5SX7F0584155,recalled
supplier 4,shrine,3VW1K7AJ0FM613835,inactive
supplier 1,depot,WBAKA8C59AC361137,reassigned
supplier 4,hideaway,WAUHFAFL8DN236541,standby
supplier 1,fortress,KNADM4A37C6263736,in transit
supplier 2,vault,1N6BF0KX6FN659680,undergoing upgrades
supplier 2,lodge,WBA3R5C59EF706036,under repair
supplier 2,depot,WDDHH8JB4FB914992,recalled
supplier 0,lodge,5UXWX9C59E0874550,lost in action
supplier 1,cove,1G6KF57982U408947,reserve
supplier 4,frost,WAUHMBFC3EN189612,retired
supplier 1,nexus,WAULT68E93A038443,awaiting deployment
supplier 0,hideaway,WA1AV74L37D658041,inactive
supplier 0,depot,3D73Y4CL3BG436719,temporary storage
supplier 3,isle,1G6AG1RX2F0298889,retired
supplier 2,bastion,1G6AG5RX5F0498124,in development
supplier 1,frost,WAUSH98E36A564635,covert operation
supplier 0,shrine,3GYEK63NX2G405530,under evaluation
supplier 3,lodge,1C3BCBEB1EN379496,undergoing upgrades
supplier 0,homestead,1G4CU541344113968,under analysis
supplier 3,mirage,1G6DP1E34D0231143,in transit
supplier 1,retreat,WBABV13475J625718,reserve
supplier 3,shrine,SAJWA0JHXEM743164,under analysis
supplier 4,cove,WBAKX8C58BC088742,in development
supplier 3,retreat,WAUDF98E76A794631,covert operation
supplier 4,lodge,WBAPH5C51BA913002,retired
supplier 4,cove,WA1CGCFE4BD690483,reserve
supplier 0,frost,KMHHU6KJ7FU268511,awaiting deployment
supplier 3,frost,WAUJGAFD2FN027810,in development
supplier 1,shelter,SCFFDCCD3AG577064,under evaluation
supplier 1,beacon,WAUSH94F98N849270,recalled
supplier 2,tower,1GTN1TEX5DZ774000,undergoing upgrades
supplier 0,shelter,5N1AN0NW7DN059098,under maintenance
supplier 1,summit,WBA3C1C59CF266486,critical condition
supplier 0,isle,1C4NJCBA4ED728012,temporary storage
supplier 0,lodge,JN8AE2KP8C9842536,critical condition
supplier 4,frost,3D7TT2HT1BG275119,inactive
supplier 4,cove,2FMGK5D81FB092175,reserve
supplier 3,shelter,4A31K5DF3BE657050,covert operation
supplier 4,hideaway,WAUVF98K69A499924,critical condition
supplier 1,shrine,1GKKRNED8DJ668642,under maintenance
supplier 2,manor,WAULT68E23A780943,in transit
supplier 3,shrine,1G6AB5RA2E0763445,undergoing testing
supplier 3,manor,WAUVT68EX3A871631,in development
supplier 1,cove,1G6YX36D485810811,standby
supplier 4,vault,WAUGFBFC5DN198803,standby
supplier 2,frost,WAUSGAFC4CN527359,undergoing training
supplier 2,cabin,JTHKD5BH4D2781045,undergoing upgrades
supplier 4,hideaway,3GTXKYEJ1AG390306,inactive
supplier 0,frost,3VW507AT3FM422886,under evaluation
supplier 2,isle,JH4NA21623T271399,surveillance mode
supplier 3,mirage,1N6AD0CU4AC735987,under repair
supplier 3,cabin,JM1GJ1T55F1990154,undergoing upgrades
supplier 0,vault,2G4WE587261737882,undergoing upgrades
supplier 0,summit,1GD12YEG1FF400685,emergency standby
supplier 3,mirage,WAU2GBFC5CN927680,recalled
supplier 3,beacon,1D7CW3BK8AS405188,reserve
supplier 3,retreat,WAUKFAFL4DN665956,undergoing training
supplier 3,hideaway,WBA4B3C55FG009035,in development
supplier 1,lodge,1VWAH7A32EC392237,active
supplier 0,cabin,1FTWW3B5XAE488281,under evaluation
supplier 4,lodge,1D7CE5GKXAS136408,standby
supplier 3,beacon,JN8AE2KP3D9549953,inactive
supplier 0,shrine,1G6DJ5EVXA0864414,destroyed
supplier 3,tower,JM1GJ1T54F1232189,in development
supplier 1,shelter,WAUVT58E45A716375,emergency standby
supplier 4,shrine,5FRYD3H27EB207801,critical condition
supplier 0,shelter,1D7RB1GT5AS676205,surveillance mode
supplier 4,cabin,WBAFR7C50CD066669,under maintenance
supplier 4,nexus,2C3CDYBTXDH327230,undergoing testing
supplier 2,beacon,WBADT334X1G777879,in transit
supplier 1,homestead,2T1KE4EE1CC467895,destroyed
supplier 0,cove,1G4GC5ER3DF843070,awaiting deployment
supplier 1,vault,SCFEBBCF8CG476313,under evaluation
supplier 1,retreat,WA1KK78R99A607241,under maintenance
supplier 3,cabin,WDDPK4HA5FF055102,under evaluation
supplier 4,manor,1G6DV5EP9C0143803,reassigned
supplier 2,homestead,JTHFN2EY2A9272339,reserve
supplier 2,nexus,5UXFA13544L733076,temporary storage
supplier 0,lodge,WAUAFAFL3DN926098,undergoing training
supplier 1,hideaway,JTEBU4BF7EK206655,covert operation
supplier 1,tower,WAU2MAFC3FN914448,temporary storage
supplier 0,mirage,WVWED7AJXBW287521,reassigned
supplier 1,retreat,JTHFF2C28F2797630,undergoing training
supplier 1,depot,2C3CDXBG9CH006775,undergoing training
supplier 3,cabin,1C4NJPBA1FD521294,under analysis
supplier 3,tower,4A31K5DF9AE103333,covert operation
supplier 0,fortress,YV1902AHXE1741601,undergoing testing
supplier 0,depot,WAUFEAFM5CA409330,standby
supplier 2,mirage,4A31K5DF5AE889809,undergoing testing
supplier 2,shelter,5GAER13798J064281,under repair
supplier 2,hideaway,KMHHU6KJ9FU261706,critical condition
supplier 3,homestead,5GAKRDEDXCJ597742,under evaluation
supplier 4,tower,WBAUT9C52BA138301,retired
supplier 0,shrine,55SWF4JB4FU767018,in transit
supplier 2,retreat,5GAKRAKD3EJ050320,under analysis
supplier 4,homestead,1HGCR2E37DA405923,active
supplier 4,depot,1GYS4FEJ5BR091499,covert operation
supplier 0,cabin,WBA3D3C57FK069627,in transit
supplier 0,tower,2C3CCABG5CH042219,under analysis
supplier 3,tower,WBA3C1C53EK676808,under repair
supplier 2,retreat,2G4WF521X31051487,destroyed
supplier 0,shelter,5FNYF3H37FB807756,surveillance mode
supplier 4,shrine,3D7LT2ET0AG285031,reserve
supplier 2,cabin,WAUPN44E07N031675,undergoing training
supplier 2,tower,WAUPL58E85A121537,under repair
supplier 4,homestead,1D4PU7GX9BW594329,recalled
supplier 1,frost,WAUEFAFL1CN374696,temporary storage
supplier 3,shelter,WAUHFAFL7EN071650,recalled
supplier 1,cove,1C3CDWBA4CD449807,retired
supplier 2,shelter,WBAUT9C56CA747022,critical condition
supplier 2,vault,3D7TP2CTXAG458741,destroyed
supplier 3,shelter,JTEBU4BFXCK607503,surveillance mode
supplier 2,isle,5GAKRBKD1DJ422242,under analysis
supplier 4,manor,SAJWA0FS1FP993106,reserve
supplier 2,nexus,4T3BA3BB8DU878752,recalled
supplier 0,vault,3C63D3CL7CG454519,reassigned
supplier 0,isle,JM1NC2JF7B0428730,destroyed
supplier 3,frost,3N1AB7AP5FY507867,undergoing training
supplier 1,cabin,WVGAV3AX0EW307705,recalled
supplier 4,frost,3GYVKNEFXAG541056,destroyed
supplier 4,homestead,KMHFG4JG5EA168366,awaiting deployment
supplier 4,lodge,WBAKA83599C505314,under evaluation
supplier 3,manor,WAUJT68EX2A887924,recalled
supplier 0,homestead,SCFAD02A05G598413,in transit
supplier 1,retreat,2T1BU4EE0CC397678,active
supplier 2,shelter,19XFB4F29DE142008,undergoing upgrades
supplier 3,fortress,4T1BK3DB5BU826849,under evaluation
supplier 1,lodge,4T1BD1FK9DU188314,destroyed
supplier 4,cabin,1D4PT7GX3BW079863,reserve
supplier 0,cove,5N1AR1NB0BC978764,active
supplier 0,cove,1FBNE3BL9BD778343,under analysis
supplier 0,cove,2FMPK3K97FB064073,in development
supplier 3,depot,JTDJTUD39ED071303,active
supplier 1,bastion,2C3CCABG1DH729439,surveillance mode
supplier 4,tower,WBA3A9C55DF886368,under analysis
supplier 1,mirage,4T1BD1FK8CU109634,retired
supplier 1,frost,WAUHF98P38A742175,under evaluation
supplier 4,nexus,3LN6L2G96ER853698,undergoing upgrades
supplier 2,shelter,1G6DK8EDXB0879860,under repair
supplier 2,shelter,1GYS4HKJ5FR854773,surveillance mode
supplier 0,lodge,KNDPB3A28B7878246,undergoing upgrades
supplier 3,cabin,WBA3C1C53FK381418,in transit
supplier 0,hideaway,WAUKF78E75A572164,under evaluation
supplier 4,lodge,WDDGF4HBXER281632,inactive
supplier 4,vault,WAULC68EX2A962498,surveillance mode
supplier 3,tower,3D73Y3HL9BG614863,inactive
supplier 0,mirage,3D73M3HL9BG825976,reserve
supplier 4,isle,WAUAGAFD3DN607161,undergoing testing
supplier 2,lodge,WBAYA6C50ED635291,under evaluation
supplier 0,fortress,1GYS3AEF5BR804063,critical condition
supplier 4,fortress,YV1672MC3AJ747703,undergoing upgrades
supplier 3,manor,1C4NJPBA2FD755735,in transit
supplier 3,hideaway,WAULT68EX4A683359,lost in action
supplier 2,cabin,3N1CN7AP3EL660095,under evaluation
supplier 4,frost,YV1982BW3A1129739,reserve
supplier 1,tower,2D4RN4DE7AR067047,under maintenance
supplier 3,manor,WBAVB13526K818644,emergency standby
supplier 3,nexus,1G6YV36A685889314,destroyed
supplier 0,summit,1C4NJCBA3DD754003,under maintenance
supplier 2,lodge,SAJWA0F79F8072421,covert operation
supplier 3,cabin,3D7TT2CT5BG463391,awaiting deployment
supplier 0,manor,JM1GJ1T53E1984660,active
supplier 0,fortress,JN8AS5MT0BW793109,inactive
supplier 1,summit,1G6KS54Y12U397085,standby
supplier 1,bastion,3D7JB1EP5BG673722,under maintenance
supplier 0,cove,1N6AA0CA8FN845953,inactive
supplier 3,hideaway,1FTWF3B56AE464110,undergoing testing
supplier 0,frost,WVGAV7AX7AW237881,in transit
supplier 1,tower,JM1NC2EF7A0657580,awaiting deployment
supplier 1,homestead,1N6AA0EC8EN345983,in transit
supplier 1,nexus,1G6DP577X70388252,covert operation
supplier 1,retreat,JN8AZ2KR3ET386179,awaiting deployment
supplier 1,manor,WAUBFAFL4EA965134,undergoing upgrades
supplier 0,retreat,WBAWV13567P857527,standby
supplier 3,retreat,1GYFK132X9R546492,covert operation
supplier 3,beacon,JTDKDTB39C1588436,covert operation
supplier 4,fortress,1FTFW1E82AK760057,emergency standby
supplier 2,fortress,WBA3N3C53EK944732,in transit
supplier 2,summit,WBA4A5C55FD385007,undergoing testing
supplier 1,homestead,19XFA1F23AE453768,retired
supplier 1,isle,1G4HB5EMXAU534702,undergoing testing
supplier 3,tower,WDDHF0EB0FB532251,awaiting deployment
supplier 0,manor,WBAPM7C53AE397627,under maintenance
supplier 3,hideaway,WVGAV7AXXAW347288,reassigned
supplier 2,depot,WBAUT93589A592787,standby
supplier 2,homestead,3C3CFFER9FT699165,standby
supplier 3,tower,5NPDH4AE7CH769209,surveillance mode
supplier 3,hideaway,1G6AD5S35D0613205,destroyed
supplier 0,lodge,WBA1F7C58FV038765,temporary storage
supplier 4,shelter,2T2BK1BA9EC214380,undergoing training
supplier 3,frost,WAUJT58EX4A471286,covert operation
supplier 2,cabin,WBAFR9C58DD424257,in development
supplier 1,depot,WA1CMAFE2CD040629,under analysis
supplier 1,nexus,WAUAF68E85A579551,undergoing upgrades
supplier 0,depot,2B3CA7CW0AH986437,destroyed
supplier 4,tower,WAUBG78E56A466827,reassigned
supplier 4,manor,1G6AB5SX0D0355555,under analysis
supplier 0,shrine,JN8AZ2KR8BT986546,in transit
supplier 4,manor,1FTEX1CM2BK437038,critical condition
supplier 0,beacon,3VW4S7AT7EM792050,destroyed
supplier 3,depot,3C4PDDEG5ET182286,under maintenance
supplier 2,fortress,JHMZE2H74ES278674,undergoing testing
supplier 3,nexus,WAUXL68E94A230156,reserve
supplier 3,nexus,TRUTC28N121870519,lost in action
supplier 2,frost,JN1CV6FE8DM323394,surveillance mode
supplier 1,isle,JTEBU5JR6F5268856,standby
supplier 3,nexus,WBAVT73558F888828,under maintenance
supplier 3,isle,SCFBB04B58G790110,under repair
supplier 1,cabin,1G6KA5EYXAU208529,surveillance mode
supplier 4,cove,WVGFF9BPXBD100430,covert operation
supplier 4,fortress,1G4GC5EC0BF327189,undergoing training
supplier 4,homestead,WUAGNAFG7CN119975,undergoing training
supplier 0,mirage,3C4PDCBB3CT971083,reassigned
supplier 3,lodge,WBAAV334X1F279233,in transit
supplier 3,mirage,WAUBNBFB9AN338044,reassigned
supplier 0,vault,1ZVBP8AM4C5507895,emergency standby
supplier 3,isle,WAUJFAFH6EN037454,undergoing testing
supplier 0,cove,WBAVC73577A565392,under maintenance
supplier 0,manor,2HNYD2H64DH303841,destroyed
supplier 3,mirage,WBAKF3C50BE611973,lost in action
supplier 0,cove,3GYFNFE33CS229958,undergoing training
supplier 2,homestead,WAUUL98E96A506360,retired
supplier 0,isle,JTHBL5EF6B5330630,lost in action
supplier 2,summit,WAULT58E95A987133,undergoing training
supplier 0,cabin,1FBAX2CM8FK170907,in transit
supplier 3,manor,3VW517AT5FM546137,under analysis
supplier 3,fortress,1FBNE3BLXED003070,active
supplier 2,homestead,4JGDA0EBXFA541936,critical condition
supplier 0,shrine,KMHFG4JG0EA073469,under repair
supplier 0,cabin,WAUKF98E87A644777,inactive
