0,1,2,3
supplier 4,tactical headset,1C6RD6FP0CS330868,standby
supplier 3,radio backpack,1C3CDFAA8ED351464,undergoing upgrades
supplier 3,tactical headset,KMHTC6AD6CU461592,in transit
supplier 3,secure wi-fi hotspot,WBAEN33433E859871,destroyed
supplier 3,voice changer device,2G4WS52J311096845,under evaluation
supplier 4,secure tablet,1N6AA0CCXCN924649,reserve
supplier 2,voice changer device,1G6YX36D895450864,emergency standby
supplier 0,tactical radio,1VWAH7A38DC779888,undergoing testing
supplier 4,tactical headset,WAUKFAFL5EN940879,lost in action
supplier 0,handheld transceiver,2C3CCASG7DH127211,in development
supplier 1,data encryption module,4A31K2DF3BE376266,lost in action
supplier 3,radio backpack,WAUHFBFL4BN565319,under evaluation
supplier 2,secure wi-fi hotspot,WUARL48H99K505300,covert operation
supplier 1,satellite phone,WAUVVAFR0AA169950,destroyed
supplier 1,radio backpack,KNAFU6A23D5594915,recalled
supplier 2,covert pen,5BZBF0AAXEN084837,reassigned
supplier 2,handheld transceiver,WUAW2AFC7FN102079,in development
supplier 3,secure tablet,1FTSW3B5XAE029329,standby
supplier 2,secure backpack,1YVHZ8BHXB5160770,in transit
supplier 4,secure messaging app,2G4WC562451277989,destroyed
supplier 3,secure tablet,3VW1K7AJ3DM095717,destroyed
supplier 4,radio backpack,1G6DK1ED6B0074025,undergoing training
supplier 1,data encryption module,WAUDGAFL9BA013313,in development
supplier 3,secure tablet,3FADP4AJ4DM170897,surveillance mode
supplier 2,secure smartphone,3D73M3CL6BG984655,under repair
supplier 1,covert pen,WAUKF98E47A699159,emergency standby
supplier 3,data transmitter,WVGEG9BP5DD151636,retired
supplier 2,voice changer device,WAUJC68E75A437572,in development
supplier 3,tactical antenna,5TDBK3EH7BS135608,undergoing upgrades
supplier 2,secure walkie-talkie,3C3CFFAR2DT227263,reserve
supplier 1,tactical radio,JH4KA96553C012871,inactive
supplier 2,secure wi-fi hotspot,1FMJU1F59AE374153,active
supplier 0,radio backpack,1GYEC63N95R473805,destroyed
supplier 3,satellite phone,YV1902FH7D1365964,emergency standby
supplier 4,satellite phone,3FA6P0SU7FR791602,covert operation
supplier 1,secure tablet,KMHFG4JG5EA608618,emergency standby
supplier 1,secure backpack,SAJWA2EK2EM355430,in development
supplier 0,secure wi-fi hotspot,WAUFGBFC4DN663922,recalled
supplier 4,data encryption module,1C3CCBBB4EN742009,undergoing training
supplier 0,covert watch,1G4HE57Y58U545432,in development
supplier 1,data transmitter,3GYFNBE37CS257741,temporary storage
supplier 3,radio backpack,1G6KD54YX4U560717,under repair
supplier 3,voice changer device,JTJBARBZ5F2303744,inactive
supplier 3,data transmitter,JM3TB2CA8D0092446,destroyed
supplier 4,encryption device,WAUEKBFB0BN003469,critical condition
supplier 4,secure smartphone,1FTMF1EW4AK757912,emergency standby
supplier 3,data transmitter,JM1NC2LFXF0953199,under repair
supplier 1,secure walkie-talkie,3D4PH6FG3BT095645,inactive
supplier 2,secure messaging app,5J8TB1H50CA970170,recalled
supplier 2,covert watch,2T1BURHEXEC699264,critical condition
supplier 0,voice changer device,1GKS1AE02DR383434,recalled
supplier 3,secure walkie-talkie,4A31K5DF5CE140799,in transit
supplier 1,encryption device,1N4AL2AP3CN254835,awaiting deployment
supplier 0,secure messaging app,2C3CA6CT3BH016294,under evaluation
supplier 0,secure messaging app,JTJBC1BA7A2022625,in development
supplier 0,radio backpack,SALAB2D45CA245648,critical condition
supplier 3,tactical antenna,ZHWGU5BZXCL786038,covert operation
supplier 4,secure wi-fi hotspot,1J4PN2GK2AW687557,reassigned
supplier 4,radio earpiece,5N1AR2MM6DC458984,in development
supplier 4,secure walkie-talkie,WAUSFBFL1AA827034,inactive
supplier 1,secure backpack,JTHHE5BC5F5473265,surveillance mode
supplier 2,secure wi-fi hotspot,1GYS3MKJXFR645105,in transit
supplier 1,secure messaging app,JN8AZ2NE1F9101065,temporary storage
supplier 4,encryption device,KNAFT4A2XB5298049,covert operation
supplier 3,radio backpack,JTDZN3EU2E3149201,destroyed
supplier 2,secure tablet,5N1AT2ML4FC345630,temporary storage
supplier 1,secure wi-fi hotspot,WAUGFAFC1EN305129,under maintenance
supplier 4,covert pen,1GTC5MF96C8613256,critical condition
supplier 4,covert pen,KMHTC6AD3EU857398,lost in action
supplier 2,secure smartphone,JM1DE1KY3D0687377,under evaluation
supplier 2,tactical headset,1G6DZ67A280829840,temporary storage
supplier 0,secure laptop,YV1612FS4E1874956,inactive
supplier 3,secure laptop,3GYFNGEY2AS205391,recalled
supplier 2,voice changer device,WBAPL33539A287367,reassigned
supplier 1,tactical radio,2HNYD2H31CH073728,destroyed
supplier 0,secure backpack,1GYS4CKJ7FR968339,undergoing testing
supplier 3,data encryption module,5N1AN0NW4EN313769,under analysis
supplier 4,secure walkie-talkie,3FA6P0LU2ER956338,critical condition
supplier 2,radio earpiece,WP1AA2AP1AL170565,undergoing upgrades
supplier 4,radio earpiece,1G4GF5E30DF309270,awaiting deployment
supplier 3,data transmitter,1FMJU1H58AE721176,reassigned
supplier 4,data transmitter,WBASN4C57BC591001,covert operation
supplier 1,handheld transceiver,1N6AA0CC2DN772853,retired
supplier 0,voice changer device,JN1AZ4EH9AM234506,recalled
supplier 2,secure laptop,3C6JR6CT4DG400686,standby
supplier 3,secure backpack,5GNRNHEE1A8402575,in development
supplier 0,secure wi-fi hotspot,JTDKTUD32DD131179,surveillance mode
supplier 3,covert pen,1G4HP57278U368503,surveillance mode
supplier 4,data encryption module,4USBU535X8L815649,in development
supplier 0,handheld transceiver,4A4AP3AU5DE718731,undergoing testing
supplier 2,tactical antenna,WAUJT68E63A041341,inactive
supplier 2,handheld transceiver,5N1AA0NC1EN849628,standby
supplier 2,secure laptop,SCFEBBAKXDG516781,emergency standby
supplier 1,satellite phone,JA32X8HW1CU245798,inactive
supplier 0,tactical antenna,4JGDF2EE0DA057214,critical condition
supplier 2,voice changer device,1FTEX1CM1DF391763,in development
supplier 3,covert watch,2T1KE4EE0AC616455,active
supplier 1,secure smartphone,TRUWX28N621381762,destroyed
supplier 4,encryption device,WDDGF4HB0EA369216,reassigned
supplier 0,secure messaging app,1G6AC1R36F0535490,destroyed
supplier 3,data transmitter,WBAYA8C53FG712523,critical condition
supplier 3,tactical headset,WBAWR33547P508348,under evaluation
supplier 3,secure messaging app,5LMJJ2H55AE707279,in development
supplier 3,data encryption module,1GYS3JEF6ER606130,undergoing training
supplier 1,covert watch,1C4RDHDG4FC308474,awaiting deployment
supplier 1,secure wi-fi hotspot,WBA8Z5C50FD902014,awaiting deployment
supplier 2,secure smartphone,WAUAT48H45K357414,undergoing upgrades
supplier 4,tactical headset,2LNBL8CV0AX206231,undergoing training
supplier 0,handheld transceiver,3VW517AT8EM111126,undergoing testing
supplier 1,secure laptop,SCFFDCCD5BG883376,under maintenance
supplier 1,satellite phone,WBAPM73579A843622,undergoing training
supplier 1,secure backpack,YV1902MC1F1242834,recalled
supplier 0,covert pen,WA1CGBFE5CD775411,undergoing upgrades
supplier 2,secure laptop,3GYFK62837G482800,critical condition
supplier 0,covert pen,1G6DM8EV0A0926895,retired
supplier 0,tactical headset,KNADH4A32A6190177,temporary storage
supplier 0,secure tablet,JN8AE2KP2D9070522,under repair
supplier 2,covert watch,1N6AF0LX2EN565885,reassigned
supplier 0,secure smartphone,3CZRE3H38BG286553,inactive
supplier 2,radio backpack,1D7CE3GK7AS914636,in development
supplier 3,encryption device,JH4KB2F54BC099715,recalled
supplier 4,data transmitter,WBALW3C55DC268760,inactive
supplier 3,covert watch,KNDKG3A28A7015067,emergency standby
supplier 4,radio earpiece,1D7RW3BK9BS641019,surveillance mode
supplier 3,covert pen,KL4CJBSB4FB902792,destroyed
supplier 4,covert pen,3C63D3CL7CG482563,in development
supplier 2,encryption device,5N1AA0ND0EN492225,under repair
supplier 1,radio backpack,1FMCU9E72AK006098,undergoing training
supplier 0,tactical headset,WBANW53509C176483,inactive
supplier 3,handheld transceiver,WAUGL98E56A813814,awaiting deployment
supplier 3,covert watch,3D73Y3CL1BG733787,inactive
supplier 4,secure wi-fi hotspot,JTHKD5BH3B2687039,retired
supplier 0,voice changer device,WDDDJ7CB7BA680759,in development
supplier 2,tactical headset,1FTEW1CF2FF871950,in development
supplier 4,secure backpack,WUAPV64B43N699738,active
supplier 2,tactical headset,2G4WD582071333603,in development
supplier 3,tactical radio,WAUSH78E98A538368,critical condition
supplier 4,encryption device,JTHBL1EF0E5167003,under maintenance
supplier 2,satellite phone,1G4HP54K744307828,undergoing training
supplier 1,tactical headset,1C4SDJCT3FC577394,in transit
supplier 2,secure messaging app,SALAC2D46AA413744,undergoing testing
supplier 4,voice changer device,3VWKP7AJXDM441087,destroyed
