0,1,2,3
supplier 3,summit,4A31K5DF4CE041066,undergoing testing
supplier 3,cabin,19UUA65626A420619,in transit
supplier 1,depot,1G6KD57Y06U970182,in development
supplier 0,fortress,3TMJU4GN0AM063888,emergency standby
supplier 2,nexus,1FM5K7B89FG058337,in transit
supplier 1,shrine,2LMHJ5AR6BB039722,covert operation
supplier 3,shrine,5UXWY3C59F0496838,undergoing training
supplier 1,retreat,1N4AB7AP1EN695544,inactive
supplier 2,cove,1C3CDFBB0ED487448,critical condition
supplier 2,cove,SCBBR53W768309506,covert operation
supplier 0,depot,1FTSW3B51AE789312,reserve
supplier 3,nexus,1FTMF1EW3AF222238,awaiting deployment
supplier 3,nexus,3FAHP0DC4AR894921,under repair
supplier 3,isle,WAUEFAFL7EN733875,surveillance mode
supplier 1,shelter,WVWBN7AN4FE659465,reassigned
supplier 3,retreat,KMHHT6KD2AU069369,retired
supplier 2,bastion,JN8AZ2NC2B9724672,temporary storage
supplier 4,manor,5UXZV4C59CL296595,surveillance mode
supplier 4,bastion,WBSVA93548E723324,under maintenance
supplier 4,fortress,5FRYD3H43GB755413,undergoing testing
supplier 1,shelter,1G6KS54Y11U928607,undergoing testing
supplier 0,beacon,5UXFG8C59AL870095,surveillance mode
supplier 1,frost,5NPDH4AEXEH395794,undergoing upgrades
supplier 0,mirage,WBA3V7C53FP080468,lost in action
supplier 0,depot,JH4CL96964C795878,temporary storage
supplier 0,shelter,5UMBT93576L589594,undergoing testing
supplier 0,isle,3GYFNEEY4AS816950,covert operation
supplier 0,shrine,3N1BC1CPXCK096055,under evaluation
supplier 0,nexus,WAUSGAFC5CN566588,critical condition
supplier 1,hideaway,WAULH54B81N429063,under evaluation
supplier 0,cabin,JH4CL96895C012710,under repair
supplier 2,manor,1G6YX36D895265861,under repair
supplier 4,beacon,JA4AS2AW6BU707929,under repair
supplier 1,tower,1N6AD0CU9FN011420,critical condition
supplier 0,summit,WA1DKAFP4CA635771,reserve
supplier 3,frost,1N4AB7AP8EN152370,under evaluation
supplier 1,hideaway,1N4AA5AP2AC541812,emergency standby
supplier 1,shelter,NM0AE8F78E1478464,surveillance mode
supplier 0,mirage,WBALZ3C58CC573398,undergoing training
supplier 2,shelter,1G6AJ5SX2E0602627,standby
supplier 4,homestead,1GT3CZBG0AF619442,under maintenance
supplier 3,nexus,WBAUT93599A560656,in transit
supplier 3,isle,KMHDB8AE6AU771766,under evaluation
supplier 1,retreat,1GYS4HEF5ER771527,under analysis
supplier 4,summit,WBAWB73598P615991,under maintenance
supplier 2,beacon,3N1CN7AP4FL832829,recalled
supplier 1,mirage,19XFA1E38BE644601,retired
supplier 1,beacon,19XFA1E30AE566295,under analysis
supplier 2,bastion,1GYS3CKJ1FR752618,inactive
supplier 1,fortress,3VW517AT7FM351639,in transit
supplier 0,hideaway,1D4PT4GX5BW742378,in development
supplier 0,shrine,1GKUCHE08AR565954,reassigned
supplier 0,isle,1G6AL5SX3D0327357,surveillance mode
supplier 3,retreat,5YMGZ0C51BL233017,awaiting deployment
supplier 4,cabin,1G6DU6EV3A0380520,retired
supplier 3,cove,WBAKA8C53AC067779,temporary storage
supplier 3,frost,JHMZF1D69ES393503,reassigned
supplier 4,bastion,1GYUCGEF9AR532689,undergoing upgrades
supplier 1,hideaway,WA1CM94L69D120427,recalled
supplier 3,depot,WBSWD9C58AP509667,critical condition
supplier 2,vault,WBAPN7C57BF521259,under analysis
supplier 3,homestead,JM3TB2MAXA0474553,reassigned
supplier 2,beacon,3C4PDDBG7ET335819,recalled
supplier 4,cove,3N1CE2CP8FL769086,covert operation
supplier 0,cabin,WP0AA2A8XEK506271,undergoing training
supplier 4,homestead,WBABW334X4P946348,in transit
supplier 1,hideaway,1GKS1FEJ8CR142465,covert operation
supplier 1,depot,1GD422CG7EF737065,undergoing training
supplier 4,frost,KNAFX5A81E5458130,covert operation
supplier 0,cabin,5N1AA0NC0BN915260,reassigned
supplier 3,tower,4F2CY0C76BK501593,retired
