0,1,2,3
supplier 2,cove,5N1AR1NB9BC965821,awaiting deployment
supplier 2,mirage,WBAEV334X3K475930,undergoing training
supplier 3,vault,WDDJK6FA8FF032627,inactive
supplier 4,fortress,4USBT53514L966831,temporary storage
supplier 1,homestead,WBAUP9C55AV036583,in transit
supplier 0,depot,SCBLC37F35C440951,active
supplier 2,hideaway,YV4902DZ8C2342345,lost in action
supplier 0,manor,KNADM5A39E6141050,retired
supplier 4,depot,YV1902AH4C1365362,in development
supplier 0,beacon,1FMCU4K34AK602074,under repair
supplier 4,nexus,1N6AA0EJ5FN438668,in development
supplier 0,nexus,WBSPM9C55AE230323,reassigned
supplier 1,shelter,WBA3A9G5XDN359927,under evaluation
supplier 1,hideaway,1N4AB7AP8DN035905,standby
supplier 1,shrine,WVGAV7AXXCW666404,reserve
supplier 0,shrine,1G6AJ1RX4F0712207,active
supplier 2,vault,5GAKRBED9BJ076966,emergency standby
supplier 2,cove,WDDEJ7HB0AA835566,undergoing testing
supplier 2,vault,4T1BF1FK2EU455644,in development
supplier 3,depot,3C63D3CL3CG128121,active
supplier 4,cove,5LMJJ2H53DE627953,under evaluation
supplier 1,fortress,WP0AB2A93FS290626,in transit
supplier 1,tower,1G4HP52K944502607,surveillance mode
supplier 3,retreat,1D4PT2GK1BW860727,lost in action
supplier 3,cove,3GYFK62818G059120,emergency standby
supplier 0,depot,JTHBS1BL2D5604589,awaiting deployment
supplier 4,bastion,SAJWA0FA8AH528512,surveillance mode
supplier 4,depot,WDDEJ7KB7AA605936,under maintenance
supplier 0,beacon,19XFB2E51DE435398,under repair
supplier 2,manor,WAUYP54B41N913840,retired
supplier 4,cabin,3D7JV1EP5BG952207,inactive
supplier 1,lodge,JM1NC2LF7D0359490,under analysis
supplier 0,cabin,KM8JT3ABXBU261592,temporary storage
supplier 4,cabin,JM3ER2W3XA0281970,awaiting deployment
supplier 4,shrine,WVWAN7AN9EE668463,reserve
supplier 2,cove,3D7LT2ET0BG807495,reassigned
supplier 4,vault,3D7TT2CT4BG175832,temporary storage
supplier 3,cabin,WAUJT58E03A544891,undergoing testing
supplier 1,retreat,WDDHF5GB6AA175215,surveillance mode
supplier 2,mirage,3LN6L2G91FR307439,temporary storage
supplier 1,depot,WAUDF98EX8A102591,inactive
supplier 3,beacon,JTMHY7AJ2F4162712,active
supplier 4,nexus,WAUUL98E87A306507,undergoing upgrades
supplier 0,summit,JTDZN3EU0FJ941697,critical condition
supplier 0,homestead,WAUDF98E78A511583,emergency standby
supplier 2,retreat,1G6YX36D785915598,under repair
supplier 0,hideaway,4T1BD1EBXDU100050,undergoing training
supplier 0,cove,1HGCR2E53FA158193,temporary storage
supplier 3,hideaway,WAUEF98E87A964260,destroyed
supplier 1,vault,JA32X8HW8AU798168,under analysis
supplier 0,manor,5TDBM5G15CS394640,undergoing training
supplier 2,fortress,3VW1K7AJ5DM377910,undergoing testing
supplier 1,shrine,WAUEH78EX6A639249,critical condition
supplier 2,summit,WBA3C1C54DK979076,reserve
supplier 0,shelter,1N6AA0CC3DN095943,standby
supplier 2,fortress,WBAKB0C56BC586261,in development
supplier 0,summit,WBANV13539C688315,active
supplier 1,depot,WAUR4AFD1DN958789,retired
supplier 0,bastion,1VWAH7A38EC582415,critical condition
supplier 1,tower,WDDGF4HB7EG261477,destroyed
supplier 2,mirage,1FTWX3B55AE423478,retired
supplier 1,lodge,19XFB4F25DE602913,reassigned
supplier 3,shrine,WBA1J7C51FV439394,under evaluation
supplier 4,cove,WAUFFAFM1CA844116,critical condition
supplier 4,summit,5GAKRCED2BJ923235,covert operation
supplier 1,isle,JTHBE1BL1FA864824,undergoing testing
supplier 1,tower,WVGEF9BPXDD243893,undergoing upgrades
supplier 3,shelter,1G6KH5E63BU502463,reserve
supplier 0,summit,WBA3N3C53FK687895,destroyed
supplier 2,shelter,1G4HF5EM0AU031636,destroyed
supplier 0,vault,1GYS3FEJ4BR058061,active
supplier 0,nexus,1G6AE1R31F0100080,under evaluation
supplier 1,vault,SCBBP9ZA5CC139115,under maintenance
supplier 0,tower,JH4NA21654T744357,under repair
supplier 4,retreat,WBALW7C55DD803121,emergency standby
supplier 0,isle,WVWGU7AN5CE120387,covert operation
supplier 1,homestead,2C3CDXL94FH444477,retired
supplier 0,frost,WAUAT48H84K715337,critical condition
supplier 2,vault,1GYFC36299R417549,undergoing upgrades
supplier 3,cabin,5GAEV13D89J835932,in transit
supplier 1,shrine,1N6AA0CJXDN128130,under repair
supplier 2,fortress,WBAPM5G52BN067624,emergency standby
supplier 1,shelter,3GYFNFE32FS525221,inactive
supplier 3,hideaway,3D73Y3HL1AG491395,under repair
supplier 1,retreat,3D7TT2CT0BG192496,retired
supplier 3,mirage,2G61R5S30F9380778,lost in action
supplier 3,hideaway,1GYS3HEF7CR361683,under analysis
supplier 0,nexus,WVWAA7AJ1CW316039,active
supplier 1,hideaway,1G4PR5SK5E4010387,reserve
supplier 4,nexus,1GYS4LKJ3FR406972,recalled
supplier 3,summit,1D7RV1GP6AS969377,recalled
supplier 2,isle,2G4WS55J751072310,standby
supplier 0,beacon,KNADH4A3XA6497855,under analysis
supplier 1,retreat,1G4GC5GC2BF125533,lost in action
supplier 0,shelter,3G5DA03L56S313672,undergoing upgrades
supplier 0,nexus,1FMEU2DE5AU226744,covert operation
supplier 3,fortress,WAUEKBFB8AN836077,undergoing testing
supplier 3,summit,3C3CFFBR6FT161589,under repair
supplier 2,beacon,YV440MDB6F2818623,undergoing training
supplier 2,frost,WVWBB7AJ7DW054711,under analysis
supplier 2,cove,JN1AZ4FH4FM589766,temporary storage
supplier 3,frost,19XFA1E86AE229447,inactive
supplier 0,isle,JHMZF1C66FS144403,reassigned
supplier 2,fortress,SCFFDABEXCG520569,under analysis
supplier 4,frost,19XFB4F23EE425909,under maintenance
supplier 0,manor,2T1BU4EE7BC015287,critical condition
supplier 2,beacon,WAUEFBFL2EA215010,under maintenance
supplier 1,isle,WAUMF98K89A835200,emergency standby
supplier 4,frost,WA1DGAFE7BD814142,emergency standby
supplier 3,mirage,3GYFNKE44AS119080,inactive
supplier 1,beacon,WBA1F5C5XEV731579,under analysis
supplier 3,nexus,WBAYM1C50ED911348,undergoing upgrades
supplier 2,nexus,1G6DH5EY1B0116450,reserve
supplier 1,retreat,3N1BC1AP4BL854354,critical condition
supplier 2,manor,1G6DF577590326294,under analysis
supplier 0,mirage,JM3KE2BE8E0071072,surveillance mode
supplier 3,lodge,1G6KD57979U777086,critical condition
supplier 1,cove,1G6AH1RXXF0624046,recalled
supplier 3,shelter,1FTEW1CM5DF622652,surveillance mode
supplier 3,cabin,WAUJT58E32A416904,recalled
supplier 3,bastion,WVWBB7AJ7DW344740,recalled
supplier 1,cabin,2D4RN3DG0BR567032,under evaluation
supplier 4,cabin,1GYS4AEF5ER572789,undergoing training
supplier 3,retreat,WAUEH48H58K671967,under analysis
supplier 3,cabin,YV4902BZ3C1789528,retired
supplier 0,retreat,WBAYA6C5XFD936734,in transit
supplier 4,nexus,JN1AZ4EH4CM433322,reserve
supplier 1,homestead,1N6BF0KM5FN288615,covert operation
supplier 3,lodge,JN1AZ4EH5EM334026,undergoing training
supplier 2,hideaway,2C3CDYBT0EH352932,covert operation
supplier 3,cove,3LN6L2G96FR803689,reserve
supplier 0,homestead,WBAFR9C55CD573935,recalled
supplier 4,tower,5J8TB1H22CA071400,under maintenance
supplier 3,homestead,5J6TF1H34EL567540,in transit
supplier 0,manor,JM1NC2JFXF0869421,undergoing upgrades
supplier 1,cabin,1D4PT7GX2BW271517,undergoing testing
supplier 1,shelter,ZHWGU6AU1CL529703,emergency standby
supplier 2,bastion,3C3CFFDR8FT567192,undergoing upgrades
supplier 0,vault,1G6DM5ED8B0154928,recalled
supplier 0,beacon,2C3CDZAG4FH786461,undergoing training
supplier 1,homestead,WAUGGAFR2DA848951,critical condition
supplier 1,shrine,WAUJC58E84A171584,critical condition
supplier 4,vault,WDDEJ7EB1EA705550,critical condition
supplier 1,beacon,1FAHP2D85EG059088,lost in action
supplier 0,tower,3N1BC1AP6BL968355,under repair
supplier 3,tower,KM8JT3AB5DU766622,undergoing training
supplier 1,nexus,JHMZF1C60ES079515,inactive
supplier 4,cove,5J8TB3H36DL634300,surveillance mode
supplier 3,manor,WA1LFBFP9DA021631,under analysis
supplier 0,bastion,1N6AA0CC4EN778493,destroyed
supplier 0,cabin,1G6DV8EP1E0672988,retired
supplier 3,cove,1GYS3GEFXBR219059,under maintenance
supplier 3,lodge,1GYS4GEF7CR920785,under repair
supplier 4,manor,4A4AP3AU0DE133488,temporary storage
supplier 3,hideaway,5FNRL5H22EB527774,under evaluation
supplier 0,retreat,YV1672MS0B2275799,destroyed
supplier 3,lodge,19XFA1F38AE241313,retired
supplier 1,fortress,WP0AA2A97DS319495,covert operation
supplier 0,shelter,1FBSS3BL0AD529777,emergency standby
supplier 2,isle,5N1AA0ND4FN302427,critical condition
supplier 2,retreat,1HGCR2E74DA512138,under evaluation
supplier 3,depot,2C3CCAHG2CH631428,retired
supplier 1,fortress,WAU3VAFR0AA507449,undergoing testing
supplier 0,bastion,WDDEJ8GB2AA812670,recalled
supplier 0,shelter,2HNYD18253H999471,undergoing upgrades
supplier 2,beacon,JTHBB1BA8A2081736,in transit
supplier 0,beacon,1G4GB5ER7CF092055,reassigned
supplier 3,cove,3C63DRGLXCG589779,surveillance mode
supplier 3,shelter,JH4DC53086S408114,recalled
supplier 2,manor,1FADP3E22EL231275,in transit
supplier 2,homestead,4USBU33537L422546,undergoing training
supplier 3,tower,1FTWW3B50AE606130,emergency standby
supplier 1,cove,4USCK73422L203742,inactive
supplier 0,homestead,1G4GL5E3XCF266838,in transit
supplier 2,hideaway,4T1BB3EK2BU947983,recalled
supplier 4,cove,5GAKRBKD6EJ781281,under repair
supplier 2,fortress,1D7RW7GP1AS654387,awaiting deployment
supplier 3,depot,WAUKF78P29A295530,under repair
supplier 2,retreat,WBAEP33483P238740,under maintenance
supplier 3,retreat,JHMZF1D42CS344431,active
supplier 2,hideaway,3VWAL7AJ9AM353957,lost in action
supplier 4,manor,3VWML7AJ8BM327736,lost in action
supplier 1,homestead,TRUUT28NX11722484,retired
supplier 1,vault,WA1BV74L08D158912,in transit
supplier 3,lodge,WBSPM935X9E430240,in development
supplier 2,summit,WBAYE0C51DD526094,reassigned
supplier 0,manor,5YMGZ0C59BL581602,standby
supplier 4,fortress,5UXWY3C52F0686786,undergoing training
supplier 4,lodge,1D4RD3GG5BC208783,undergoing upgrades
supplier 2,depot,WBS3C9C50FJ720877,surveillance mode
supplier 0,tower,1FMJU1G51AE027608,under analysis
supplier 0,retreat,WAUHFBFL7CN572492,standby
supplier 3,vault,WBANA73514B108167,in transit
supplier 0,nexus,KMHHT6KD3AU528862,critical condition
supplier 3,cove,WUADUAFG5EN258673,temporary storage
supplier 2,frost,2HNYD2H39DH365032,in development
supplier 4,retreat,1FTEW1C88FK414908,undergoing upgrades
