0,1,2,3
supplier 3,nano,3GYEK62N64G542565,reassigned
supplier 4,autonomous,1C4RDHAG3CC559700,lost in action
supplier 2,glider,1G6YV36A975286078,surveillance mode
supplier 0,glider,WAUFGAFC8DN033072,covert operation
supplier 2,stealth recon,YV126MFC7F2023217,inactive
supplier 4,glider,WBAUN1C56BV649269,reserve
supplier 3,hover,5N1BA0ND0FN922924,active
supplier 4,mini,JH4CL95818C552784,undergoing upgrades
supplier 5,micro,WVWDB7AJ2EW060636,in development
supplier 3,mav,KMHTC6AD4CU093882,awaiting deployment
supplier 3,tactical,WBAUP93519V801249,undergoing training
supplier 1,security,WVGFF9BP4BD262537,lost in action
supplier 3,glider,KL4CJDSB1FB674178,under evaluation
supplier 4,autonomous,1G4HR57Y18U025412,undergoing training
supplier 2,fixed-wing uav,SCFFDAAE3AG416228,in development
supplier 4,glider,3GTU2YEJXBG435103,active
supplier 5,glider,1G4HP52K234501331,reserve
supplier 4,glider,JN1AJ0HP0CM962950,temporary storage
supplier 1,armed uav,WVGFF9BP9BD654798,undergoing upgrades
supplier 5,surveillance,1G6DU6EV2A0289349,under repair
supplier 3,glider,3D73Y3HL9AG059623,standby
supplier 3,stealth recon,WP0CA2A81FS150075,under analysis
supplier 2,glider,WAULK98K49N417751,recalled
supplier 2,recon,3N1BC1AP7AL676843,active
supplier 0,vtol,5N1AR2MM2DC259494,inactive
supplier 4,reconnaissance uav,WAU4FAFR1DA559081,standby
supplier 3,surveillance,3GYFK12209G919203,under repair
supplier 2,high-altitude uav,WA1LFAFP7DA614253,reserve
supplier 1,stealth,WBAFR9C55BC191389,retired
supplier 4,hover,1G6AB5RA7F0183187,recalled
supplier 2,stealth recon,2CTALBEWXA6365593,under analysis
supplier 4,recon,5UXFG43519L438492,destroyed
supplier 0,stealth,1G6KD57Y89U795815,under analysis
supplier 5,surveillance uav,WAUGFAFR1EA826475,covert operation
supplier 3,autonomous,4T1BF3EKXAU909758,standby
supplier 0,reconnaissance uav,5GALRBED8AJ611806,critical condition
supplier 0,fixed-wing uav,TRUVD38J491578835,inactive
supplier 0,glider,SAJWA0E77D8935358,under maintenance
supplier 4,security,3C63D2CL1CG842078,recalled
supplier 0,armed uav,YV4960DL0A2317418,lost in action
supplier 5,micro,3G5DB03E42S935611,undergoing upgrades
supplier 3,high-altitude uav,WDDJK7DA6FF263079,active
supplier 3,micro,JN1BJ0HR3DM168113,in transit
supplier 4,fixed-wing uav,WBADX1C56CJ048589,covert operation
supplier 2,nano,1B3CB8HB0AD263581,awaiting deployment
supplier 0,vtol,1G6DC8EG0A0514481,covert operation
supplier 5,tactical,WAUKG78E26A614013,under analysis
supplier 2,recon,WAUNE78P18A258192,undergoing upgrades
supplier 1,hover,WDDGF4HB4EG735370,destroyed
supplier 3,stealth,WAUDF98E38A782642,reserve
supplier 1,fixed-wing uav,JN8BS1MW5DM583109,awaiting deployment
supplier 4,nano,4A31K2DF7BE242375,reserve
supplier 3,hover,WBAEN33405P259736,under repair
supplier 3,surveillance uav,WA1AY74L67D087006,undergoing training
supplier 2,surveillance uav,KMHEC4A45BA930331,under repair
supplier 4,nano,1C6RD7NT7CS400158,covert operation
supplier 2,recon,3D7TT2HT3AG795529,undergoing testing
supplier 0,high-altitude uav,5GADV23147D633690,inactive
supplier 2,surveillance uav,WAUFEBFM4BA557828,reserve
supplier 5,nano,SALGR2VF5EA544002,covert operation
