0,1,2,3
supplier 4,covertcomms audio transmitter,SCFFBCCD9BG086490,under repair
supplier 0,whisperwhisker laser microphone,1N6AA0CC7FN907084,under repair
supplier 3,whisperwire audio recorder pen,1FTFW1E87AK210112,critical condition
supplier 2,stealthsight binoculars,5GAKVBKD8FJ468777,destroyed
supplier 3,ghostnet deep web surveillance software,WVWAA7AJ0BW216755,destroyed
supplier 5,phantomtracker gps beacon,WBADT53411C460222,undergoing testing
supplier 3,shadoweye night vision goggles,2HNYD2H38CH137859,in transit
supplier 0,whisperwhisker laser microphone,WAUFFAFL8FA043467,standby
supplier 2,echoguard perimeter security system,WBALW7C51CD488283,active
supplier 3,phantomtracker vehicle gps jammer,3VW517AT8EM369369,lost in action
supplier 3,shadoweye night vision goggles,WAUML54D91N358993,under repair
supplier 3,stealthsatellite orbital recon,WA1DGAFP1FA363220,undergoing upgrades
supplier 0,invisocam wearable camera,2G4GT5GRXC9469206,retired
supplier 0,whisperwire audio recorder pen,JTEBU5JR0E5415672,active
supplier 1,covertcomms smartphone monitoring software,JH4KC1F57FC602134,awaiting deployment
supplier 5,echoguard perimeter security system,WP0CB2A81FS201524,in transit
supplier 2,silentwatch body-worn camera,3D7TT2CT2AG873466,surveillance mode
supplier 1,covertcomms audio transmitter,WBA3V5C52EP946826,destroyed
supplier 1,echoguard perimeter security system,2HKRM3H39CH692049,reserve
supplier 5,ghostnet deep web surveillance software,JH4KC1F95EC122949,destroyed
supplier 0,stealthsatellite orbital recon,1FMEU7FE7AU348130,undergoing training
supplier 3,ghostnet deep web surveillance software,5N1AR1NB9BC952244,under maintenance
supplier 2,covertcomms smartphone monitoring software,WAUNF98P26A075261,lost in action
supplier 1,ghostnet deep web surveillance software,WAUKF78E47A499967,reassigned
supplier 1,stealthsatellite orbital recon,1GYEE637670262905,undergoing upgrades
supplier 0,spectralscope hidden camera detector,WAUFFAFM4BA831939,undergoing upgrades
supplier 1,invisodrone micro surveillance,1C3CDFBB2FD084217,reserve
supplier 5,phantomtracker vehicle gps jammer,JN8AZ1MU4EW871652,under maintenance
supplier 1,ghostnet deep web surveillance software,WAUBFAFLXCA706242,destroyed
supplier 4,stealthsatellite orbital recon,WAUKGAFB4AN244559,under analysis
supplier 3,ghostcam miniature camera,WBADS43402G076603,under evaluation
supplier 5,stealthsight binoculars,WAUGN74F29N687020,active
supplier 1,covertcomms audio transmitter,KMHCT4AE3CU905606,lost in action
supplier 1,phantomtracker vehicle gps jammer,1N6AA0CA1AN936037,temporary storage
supplier 2,phantomtracker vehicle gps jammer,3VWML7AJ7DM242163,retired
supplier 2,invisocam wearable camera,1FTWW3A5XAE552501,surveillance mode
supplier 5,shadoweye night vision goggles,3D4PH6FV1AT022903,in transit
supplier 3,invisocam wearable camera,JTDKDTB3XE1129905,destroyed
supplier 5,whisperwire audio recorder pen,1GKLRKED9AJ863535,destroyed
supplier 3,echolistener surveillance van,5GADT13S062105521,in transit
supplier 2,echolistener surveillance van,WAUPFBFM8BA524283,undergoing testing
supplier 2,spectralscanner radio frequency detector,WAUDT94F35N025090,under maintenance
supplier 3,echolistener surveillance van,5TDBW5G18AS069990,undergoing testing
supplier 3,ghostnet deep web surveillance software,WAUFFAFL7CA573277,recalled
supplier 5,phantomtracker vehicle gps jammer,WBALZ3C57CC299840,under analysis
supplier 2,covertcomms audio transmitter,3D7TT2CT4AG305588,under repair
supplier 5,echolistener surveillance van,1GYEE637590287622,temporary storage
supplier 1,stealthsatellite orbital recon,WAUJC68E84A803909,inactive
supplier 1,whisperwire audio recorder pen,3D7TT2CT3AG955044,temporary storage
supplier 2,invisodrone micro surveillance,2C3CDYBT2DH785117,active
supplier 0,silentwatch body-worn camera,WA1BY74LX9D940692,lost in action
supplier 0,silentwatch body-worn camera,WAUTFAFH9BN006896,under maintenance
supplier 2,silentear audio bug,2G4WD552171585364,under maintenance
supplier 1,spectralscanner radio frequency detector,19UUB3F51FA657765,reassigned
supplier 5,shadoweye night vision goggles,JTDZN3EU7D3599716,emergency standby
supplier 4,covertcomms smartphone monitoring software,KMHHU6KJ4FU454443,active
supplier 0,phantomtracker gps beacon,1N6BF0KLXFN970168,temporary storage
supplier 3,echoguard perimeter security system,WAUNF68P16A867027,critical condition
supplier 4,covertcomms audio transmitter,2C4RDGDG8CR967462,reassigned
supplier 3,echoguard perimeter security system,1N4AB7APXDN645224,retired
supplier 3,spectralscanner radio frequency detector,WA1MKAFP3AA787750,lost in action
supplier 5,shadowdrone aerial reconnaissance,SCFFDABM7EG459241,standby
supplier 1,echoguard perimeter security system,2D4RN4DE4AR591711,awaiting deployment
supplier 2,invisocam wearable camera,WUAAU34258N983216,recalled
supplier 5,invisocam wearable camera,WDDGF4HB0EG776482,reserve
supplier 3,ghostcam miniature camera,5NPDH4AE0DH856631,standby
supplier 2,invisocam wearable camera,3VW4A7AT3DM678662,retired
supplier 1,silentwatch body-worn camera,3VWML7AJ9DM676293,temporary storage
supplier 3,invisocam wearable camera,3VWKP7AJ3CM187513,emergency standby
supplier 1,shadowdrone aerial reconnaissance,WAUDG68E85A946670,awaiting deployment
supplier 4,stealthsatellite orbital recon,3N1AB7AP7FY471230,undergoing training
supplier 1,phantomtracker vehicle gps jammer,1VWAH7A31CC265685,surveillance mode
supplier 1,invisodrone micro surveillance,2LMHJ5AT5CB045508,surveillance mode
supplier 3,covertcomms smartphone monitoring software,WAUVC68E84A534151,undergoing testing
supplier 5,stealthsight binoculars,5GAKVAKD7EJ967658,recalled
supplier 1,stealthsatellite orbital recon,1C6RD6FP4CS199413,under maintenance
supplier 2,echolistener surveillance van,1G6DP577750407028,destroyed
supplier 0,invisodrone micro surveillance,WAUCVAFR2CA257988,undergoing testing
supplier 4,invisocam wearable camera,WAUXD68D92A070359,recalled
supplier 4,ghostcam miniature camera,WAUMGAFLXCA325674,under maintenance
supplier 3,whisperwhisker laser microphone,1N6AA0EK7FN750211,emergency standby
supplier 1,stealthsatellite orbital recon,WBA3B5C59FF334333,under analysis
supplier 3,covertcomms smartphone monitoring software,WAUEKAFBXBN359115,critical condition
supplier 4,shadoweye night vision goggles,WA1C8AFP2DA859861,covert operation
supplier 3,shadowdrone aerial reconnaissance,19UUA9E53EA071834,active
supplier 5,echolistener surveillance van,WBAWL13537P160743,under repair
supplier 0,whisperwhisker laser microphone,WA1CGBFE4BD866510,critical condition
supplier 2,spectralscanner radio frequency detector,WBAHN83516D307413,under repair
supplier 3,shadoweye night vision goggles,JTMHY7AJ9F4822289,recalled
supplier 0,invisodrone micro surveillance,WBAKC6C52AC604821,in development
supplier 5,echolistener surveillance van,WAUCH74F69N418962,inactive
supplier 5,phantomtracker gps beacon,1N6AF0KX5FN382886,awaiting deployment
supplier 2,shadoweye night vision goggles,1FTWW3DY2AE265126,destroyed
supplier 4,invisodrone micro surveillance,WBAVM1C52EV696990,awaiting deployment
supplier 0,whisperwire audio recorder pen,WP0AA2A98FS363931,active
supplier 1,stealthsight binoculars,5YMGZ0C58AL559900,temporary storage
supplier 4,whisperwire audio recorder pen,WAUDGBFL3AA480117,undergoing upgrades
supplier 0,shadoweye night vision goggles,1GKS2FEJ7DR692335,awaiting deployment
supplier 3,ghostcam miniature camera,5UXFA93586L841881,under analysis
supplier 2,spectralscanner radio frequency detector,JN8AE2KP5B9221480,destroyed
supplier 5,covertcomms audio transmitter,KMHGC4DD5CU615016,emergency standby
supplier 2,covertcomms audio transmitter,1C3CDFCB9FD126025,under evaluation
supplier 4,stealthsight binoculars,KNDJN2A25E7233694,undergoing testing
supplier 0,whisperwire audio recorder pen,WBAGL63565D260870,surveillance mode
supplier 3,echoguard perimeter security system,WBAFA53571L889727,undergoing upgrades
supplier 0,silentwatch body-worn camera,1NXBU4EEXAZ667883,lost in action
supplier 2,covertcomms audio transmitter,1G6DP1E33D0116260,under repair
supplier 5,echolistener surveillance van,WA1LFAFP0FA475280,in transit
supplier 1,silentwatch body-worn camera,5UXFE83509L373261,standby
supplier 3,stealthsight binoculars,JH4DC53876S114628,emergency standby
supplier 0,ghostcam miniature camera,1GYFC66878R491914,reassigned
supplier 0,phantomtracker vehicle gps jammer,5GADS13S172794151,in transit
supplier 0,covertcomms audio transmitter,5GADV33WX7D321326,reserve
supplier 0,stealthsatellite orbital recon,JN1CV6FE9EM064187,under evaluation
supplier 2,shadowdrone aerial reconnaissance,WAURD68D01A960806,retired
supplier 4,stealthsight binoculars,WBA5B3C5XED510393,surveillance mode
supplier 4,invisocam wearable camera,WAUKH94F97N606251,under evaluation
supplier 4,spectralscanner radio frequency detector,WUAGNAFG7CN114162,surveillance mode
