0,1,2,3
supplier 5,ghostcam miniature camera,5N1AT2ML4FC788926,standby
supplier 4,shadowdrone aerial reconnaissance,5N1BA0NC4FN526731,emergency standby
supplier 1,phantomtracker gps beacon,WAUJT58E63A399338,surveillance mode
supplier 5,ghostcam miniature camera,1FTEX1CMXBK905436,emergency standby
supplier 2,invisodrone micro surveillance,KNAFX6A87E5326799,critical condition
supplier 5,spectralscope hidden camera detector,WDDHF5KB9FB955704,under analysis
supplier 2,covertcomms audio transmitter,WAUJFAFH2BN458633,destroyed
supplier 2,echoguard perimeter security system,3VW517AT1FM623277,standby
supplier 5,shadowdrone aerial reconnaissance,3D7TT2HT3BG897088,covert operation
supplier 5,silentwatch body-worn camera,1C3CCBCG7DN147616,active
supplier 3,stealthsight binoculars,WAUEH54B11N414784,retired
supplier 5,spectralscope hidden camera detector,19UUA8F2XCA484586,under repair
supplier 5,phantomtracker gps beacon,JM1NC2PF9E0758624,lost in action
supplier 2,stealthsight binoculars,SALVP2BG8FH455480,critical condition
supplier 3,spectralscanner radio frequency detector,KNDJT2A29D7873055,under analysis
supplier 0,shadoweye night vision goggles,2C3CDXGJXDH239666,in development
supplier 1,echoguard perimeter security system,3VW517AT4FM109391,undergoing testing
supplier 1,phantomtracker vehicle gps jammer,1G6AZ5S32E0388034,recalled
supplier 4,whisperwhisker laser microphone,19VDE2E50EE469700,reassigned
supplier 0,ghostnet deep web surveillance software,WAUUL98E87A037795,under analysis
supplier 1,silentwatch body-worn camera,WAUDGAFL2DA171642,destroyed
supplier 0,echoguard perimeter security system,WBAYF8C57FD698130,reserve
supplier 2,ghostcam miniature camera,JH4NA12632T314249,awaiting deployment
supplier 0,ghostnet deep web surveillance software,WAUDH94F27N737868,reserve
supplier 2,echoguard perimeter security system,2LMDJ6JK8EB614009,retired
supplier 0,whisperwire audio recorder pen,5FRYD4H48GB659024,under analysis
supplier 0,whisperwire audio recorder pen,1G6AC5S32E0459363,recalled
supplier 3,invisocam wearable camera,5N1AA0ND4FN132862,undergoing upgrades
supplier 2,echolistener surveillance van,WAUHGAFC4DN465621,under maintenance
supplier 3,shadowdrone aerial reconnaissance,JM1NC2MF5E0332918,under repair
supplier 3,ghostnet deep web surveillance software,SCFEBBBK1EG785204,under maintenance
supplier 4,shadoweye night vision goggles,JH4CL95874C012429,reserve
supplier 2,shadowdrone aerial reconnaissance,KMHGC4DD2EU236431,surveillance mode
supplier 1,whisperwire audio recorder pen,WAU2GAFC7CN973179,lost in action
supplier 4,spectralscanner radio frequency detector,3C63D2GL8CG448300,covert operation
supplier 2,stealthsatellite orbital recon,1C4RDJDG3FC469891,surveillance mode
supplier 4,invisodrone micro surveillance,JTDKN3DU8A0042040,under analysis
supplier 4,spectralscanner radio frequency detector,1G6KD57Y29U225115,active
supplier 1,whisperwhisker laser microphone,5GAEV23D79J907371,under evaluation
