0,1,2,3
Suzuki,Esteem,VNKJTUD30FA236732,emergency standby
Oldsmobile,Bravada,1GYS4DEF0DR699479,lost in action
Lexus,LS,2HNYD18786H214635,under repair
Buick,LeSabre,19UYA42582A035903,temporary storage
Mercedes-Benz,SL65 AMG,WBAYA6C50ED238292,active
Ford,Focus,1FTSS3EL5AD733546,reserve
Oldsmobile,Achieva,SCBDR3ZA6AC197165,destroyed
Mitsubishi,Mirage,1GD311CG4FF012520,critical condition
Volkswagen,Vanagon,SALAF2D41AA582450,in transit
Mitsubishi,Mirage,WA1MYAFE6AD784787,critical condition
Dodge,Avenger,SCBBR9ZA9DC469657,inactive
Pontiac,Fiero,KMHGH4JH0DU309013,under maintenance
Chevrolet,Corvette,WDDHH8JB3FB560124,emergency standby
Mazda,Protege,1G6DG577380294005,under evaluation
Lexus,GS,VNKJTUD39FA402875,reassigned
Mazda,MPV,WBANB33595C869269,under maintenance
Nissan,Frontier,WAUDG78E05A084194,under analysis
Nissan,Quest,JTDKN3DU0F0006513,standby
Lincoln,Navigator,2C4RDGBG1DR996354,active
Lexus,LX,WDBSK7AA8CF867875,under repair
Honda,Passport,1FMJK1J53AE800240,standby
Volkswagen,GTI,WAUPL68E64A236366,under evaluation
Jeep,Cherokee,1GYUCFEJ0AR562632,temporary storage
Saab,9-5,WAU2GAFC3EN174891,reassigned
Subaru,Impreza,JTJBC1BA8A2747599,under analysis
Mitsubishi,Eclipse,1GYS4PKJ8FR566904,retired
Mazda,MPV,WP0CA2A88DK536179,recalled
Nissan,Pathfinder Armada,WAULT58E85A935394,lost in action
Ford,Bronco II,4A31K5DF6CE149480,covert operation
Dodge,Caravan,1GYS3JEF4DR264045,critical condition
Ford,F250,WAULD54B84N166136,under maintenance
Chevrolet,Venture,SCFFDCBD8BG391314,in development
Pontiac,Montana SV6,WAUSF78K29N301680,reserve
Cadillac,Catera,19UUA56691A535316,in development
Acura,TSX,5N1AN0NU5AC229626,surveillance mode
Cadillac,SRX,JN1AZ4EH8EM443399,under maintenance
Subaru,Impreza,WAULC58E85A269203,emergency standby
Jeep,Wrangler,1G4GF5E3XDF319126,reassigned
Acura,RL,1G6DV1EP7D0890164,undergoing testing
GMC,Rally Wagon 3500,3GTU1YEJ2DG319092,lost in action
BMW,Z3,WBAVB33546K480224,destroyed
Buick,LeSabre,JM3ER2W31A0571756,awaiting deployment
Chrysler,Town & Country,3VWKX7AJ6CM687715,under maintenance
Lamborghini,Countach,3GTU1YEJ0BG602216,reserve
Mercedes-Benz,500SEL,1N6AA0EK3FN749668,critical condition
Lexus,ES,5N1AA0NC4CN794542,active
Cadillac,Escalade EXT,WBABS33433J848999,undergoing training
BMW,3 Series,1C3CDZCB8CN497748,undergoing upgrades
Ford,E350,WAURV78T89A728198,standby
Mercedes-Benz,C-Class,5UXWX7C50EL725897,covert operation
Chevrolet,Malibu,1GYS4HEF2BR134607,recalled
Nissan,Armada,1G6DC1E38D0506394,lost in action
Mitsubishi,L300,WAUKGBFB4BN316271,lost in action
Toyota,Paseo,SAJWA4EC6DM318724,undergoing training
Mercedes-Benz,S-Class,5J8TB4H56FL763163,under repair
Toyota,Land Cruiser,WBAEV33404P780700,undergoing upgrades
Buick,Roadmaster,WAUSH98E36A721791,reserve
GMC,Envoy XL,JH4DC53043C430715,reserve
Lotus,Exige,WAUGF98K89A063939,retired
Pontiac,Grand Prix,19UUA9F58CA674841,in transit
Volkswagen,GTI,1G6DS5E3XD0081402,surveillance mode
Dodge,Caravan,1FAHP3HN7AW815848,undergoing testing
Dodge,Ram 2500 Club,2C3CK6CT7BH383342,reserve
Maybach,Landaulet,ML32A3HJ1EH347448,active
Toyota,T100,JA32U1FU1AU744664,undergoing upgrades
Hyundai,Sonata,WA1AY74L77D404226,under maintenance
