0,1,2,3
Chevrolet,Metro,2T1KE4EE1DC541754,under repair
Oldsmobile,Custom Cruiser,1G4HP57M39U999266,lost in action
Kia,Carens,WP0AB2A8XFK676449,active
Infiniti,G25,WBA3B5C5XEP149703,awaiting deployment
Nissan,Xterra,3VW1K7AJ9DM312249,retired
Audi,S4,19XFB4F28DE351143,under repair
Mercedes-Benz,600SEL,JHMZF1D4XDS534866,under maintenance
Cadillac,CTS,5UMBT93507L461098,lost in action
Mitsubishi,Mighty Max,JTEBU4BF0CK358080,under repair
Dodge,Viper,WAUKFBFL3BA546466,reassigned
Dodge,Shadow,1FMEU7DE9AU327363,awaiting deployment
Ford,F350,5N1AT2MK4EC407257,under maintenance
Mitsubishi,Endeavor,WAUSH74F17N194931,surveillance mode
Volkswagen,Jetta,WVWAN7AN5EE260090,under repair
Ford,F250,SCBLC43F45C731261,under analysis
GMC,Suburban 1500,WBY2Z2C52FV798688,undergoing training
Scion,xA,5N1CL0MM8EC804128,covert operation
Toyota,4Runner,WBAPH5C55BF314798,undergoing training
Bentley,Continental,1G6DN57U170085467,under analysis
Cadillac,Escalade EXT,JTHBP5C2XA5685495,in transit
Mazda,MX-5,YV1902FH8D2414759,under analysis
Cadillac,Escalade ESV,2G4GL5EX6E9710540,covert operation
Lexus,RX,3C63D3KL7CG874153,destroyed
Ford,Ranger,1C4RDHAG3CC640003,under maintenance
Chevrolet,Impala,NM0AE8F73F1663393,standby
Kia,Borrego,JTEBU4BF1AK752460,destroyed
Cadillac,Catera,19UUA566X3A452402,awaiting deployment
Pontiac,Tempest,5UXKR2C59F0476689,critical condition
Audi,5000S,5FRYD3H95GB945953,destroyed
Chevrolet,Corvette,3C6LD4ATXCG042684,temporary storage
Buick,Century,1G6AE1RXXF0786882,undergoing upgrades
Toyota,Tundra,2FMPK3K91FB652115,surveillance mode
Mazda,Protege,WAUDFAFL9CN568923,undergoing training
Toyota,Tundra,3D73M3HL2BG019297,reserve
Mercedes-Benz,C-Class,3GYFK66N94G447285,emergency standby
Volvo,S90,1G4GA5EC8BF746946,reserve
Land Rover,Range Rover,WAUAF68E25A990296,inactive
Chevrolet,Silverado 3500,1GT3C0BG3AF735343,awaiting deployment
Volkswagen,Golf,3D7TT2HT9BG720755,recalled
Buick,LeSabre,1G4GC5GRXDF047493,inactive
Ferrari,599 GTB Fiorano,1G6DM8EG0A0329053,reassigned
Maserati,Gran Sport,KMHFG4JG7FA255056,undergoing training
Ford,Ranger,JA32X2HU4DU089415,under repair
Ford,F250,1GYFK33219R688824,under repair
Subaru,Justy,1G6AB1RX2F0372245,destroyed
Mercedes-Benz,S-Class,JTHBE1D29F5149917,standby
Dodge,Ram 2500,4T1BD1FK7CU717208,under analysis
Porsche,Cayman,2T1KU4EE1DC480862,lost in action
Mitsubishi,Eclipse,1FTEX1EW2AF310411,in transit
Lexus,IS-F,5UXZV4C5XDL057638,under repair
Toyota,Sienna,WBA8Z5C59FG180279,under analysis
BMW,X5,WBAVA33527K491436,surveillance mode
Ford,Bronco,WBAWR33578P791619,destroyed
GMC,Suburban 1500,JA32X8HW5DU590303,reserve
Dodge,Ram Van 1500,1HGCP2E75BA672046,under analysis
Lamborghini,Diablo,SALAG2V64FA292045,active
Fiat,Nuova 500,1N6AA0CC9AN935252,retired
Chrysler,Aspen,WAUAF98E37A675883,undergoing upgrades
Pontiac,Bonneville,5TDDK3DC1FS414038,destroyed
Lotus,Esprit,1C4RDJEG9CC514732,standby
Chevrolet,3500,JM3KE2BE2E0507964,retired
Dodge,Ram Van 2500,1GD312CG1EF712774,under repair
Jeep,Liberty,4T1BK1EB0FU208315,destroyed
Toyota,Prius,19UUA56603A604865,undergoing testing
GMC,Savana 3500,ZHWGU5BZ1CL906230,covert operation
Toyota,Camry,4T1BK1EB9EU746378,in transit
Maybach,57,4A4AP3AU9FE151538,awaiting deployment
GMC,Savana 3500,5TDDCRFH3FS283431,under evaluation
Mitsubishi,Endeavor,JTHKD5BH4B2138482,covert operation
Nissan,Pathfinder,SCBZK25E42C909185,under evaluation
BMW,5 Series,3D73Y4HL3BG222306,recalled
Land Rover,Defender 90,1C3CC5FB4AN129619,recalled
Aston Martin,DBS,ZHWGU6AU7CL932021,surveillance mode
Ford,F150,WDDGF4HB4CR452078,retired
Chevrolet,G-Series G30,JM1NC2JFXE0484097,reassigned
Chevrolet,Sportvan G30,SCBZB25E22C088247,under evaluation
Mitsubishi,Challenger,3D7JV1EP4BG399100,under evaluation
GMC,Savana,2G4WD562851508843,emergency standby
Honda,S2000,WBAEN33402E006617,emergency standby
Subaru,Impreza WRX,WA1LYBFE7AD173975,critical condition
Acura,TSX,4T3BA3BB1FU153562,undergoing upgrades
Buick,Reatta,3VW517AT9EM474860,critical condition
Maserati,Quattroporte,JN8AE2KPXE9204050,under maintenance
Plymouth,Grand Voyager,WAUJC58E55A847636,emergency standby
BMW,5 Series,5N1BA0ND2FN176945,under evaluation
GMC,Jimmy,JN8AE2KP4C9557025,destroyed
Dodge,Shadow,YV4902DZ5E2634179,destroyed
Chevrolet,Avalanche,WA1MKAFP1AA187146,standby
Mercedes-Benz,500E,WAUUL78E15A541851,in transit
Mercedes-Benz,300CE,JN1CV6EK9BM530509,inactive
Chrysler,New Yorker,KMHGH4JF9BU807691,retired
