0,1,2,3
supplier 4,firestorm annihilator,1C3ADEBZ5DV691718,under repair
supplier 2,quantum pulse,WVGAV7AX7FW119840,reserve
supplier 5,talon shroud,SCBLC47J08C106374,retired
supplier 4,havoc quake,1G6DS8EV1A0164506,retired
supplier 1,ghosteye,WAUA2AFD6DN061390,undergoing testing
supplier 4,nightfall reaper,1G6DK5E35C0537045,in transit
supplier 4,ghosteye,3GYFNFEY7BS096261,undergoing upgrades
supplier 5,cyclone viper,TRUTX28N921061001,under analysis
supplier 3,cyclone blades,WAUEG98E86A224168,undergoing upgrades
supplier 1,cyclone viper,1G6DK67V690264842,emergency standby
supplier 5,sonic eclipse,2B3CA2CV7AH045903,recalled
supplier 2,quantum pulse,WAUDT74FX5N582566,awaiting deployment
supplier 4,phantom fury,WAUVT58E45A553713,destroyed
supplier 4,silent serenity,WDDEJ7KB6AA995489,standby
supplier 3,storm surge,WA1AV94L07D034743,under evaluation
supplier 1,shadow shard,2HNYD18725H498035,undergoing upgrades
supplier 1,celestial saber,1G6AB5S37F0621282,awaiting deployment
supplier 4,cyclone viper,WBA3B5G55DN226286,under maintenance
supplier 4,havoc quake,WVWEU9AN7AE024437,awaiting deployment
supplier 3,phantom fury,WAUKF68E05A638533,awaiting deployment
supplier 4,sonic eclipse,WBAWC33579P985232,destroyed
supplier 1,nebula blaze,WP0CA2A85ES844041,reassigned
supplier 2,inferno wraith,19UUA56722A485059,under evaluation
supplier 3,serpent wrath,WBAGL83535D930015,undergoing upgrades
supplier 1,spectral storm,WBALW7C56CD038130,undergoing testing
supplier 4,whisperer,WAUVFAFH7AN211429,destroyed
supplier 5,cyclone blades,1G4GJ5E3XDF924309,surveillance mode
supplier 2,cyclone viper,SCFFDABE2CG063515,recalled
supplier 1,nightfall reaper,3C6LD5BT0CG930039,recalled
supplier 5,toxic whisper,4T1BK3DB4CU157958,in transit
supplier 1,shadow shard,1GKS1AE02BR166978,temporary storage
supplier 1,celestial saber,5TDDCRFH6FS786757,inactive
supplier 5,spectral storm,5UXZV4C53D0018276,undergoing upgrades
supplier 2,sonic eclipse,WAUEFBFLXAN207966,in development
supplier 5,whisperer,WBA3F9C59EF831439,standby
supplier 3,ghosteye,1D7RB1GT0AS289920,recalled
supplier 1,sonic eclipse,WA1YL54B45N624567,awaiting deployment
supplier 1,whisperer,WBAFB33401L684596,undergoing upgrades
supplier 4,storm surge,5N1AR2MM8DC875801,undergoing testing
supplier 1,twilight striker,5UMCL93442L615607,recalled
supplier 2,silent serenity,WBADR63432G548932,covert operation
supplier 4,toxic whisper,5N1AT2MK3FC419207,under evaluation
supplier 3,nebula blaze,SCBCR63W85C146287,lost in action
