0,1,2,3
supplier 3,sonic eclipse,JN1CV6FE6AM023302,undergoing upgrades
supplier 2,guardian veil,1GKLRKED9AJ199253,lost in action
supplier 2,nebula blaze,WA1EV74L98D179724,awaiting deployment
supplier 1,twilight striker,WDBSK7AA9BF551271,reserve
supplier 5,whisperer,WAUJC68E15A809262,active
supplier 5,toxic whisper,5TFCW5F11CX313546,in transit
supplier 4,ghosteye,1G4GD5GR0CF725213,critical condition
supplier 2,toxic whisper,1GKS1AKC6FR296203,standby
supplier 3,havoc quake,JN8AF5MR2BT695239,destroyed
supplier 4,silent serpent,5J8TB3H51FL572440,under evaluation
supplier 5,firestorm annihilator,2C3CCAGG6FH083312,covert operation
supplier 1,quantum pulse,1GT020CG4EF867683,surveillance mode
supplier 5,cyclone viper,WVGAV7AX5FW684636,covert operation
supplier 4,havoc quake,KMHHT6KD6AU131209,temporary storage
supplier 2,havoc quake,JN8AZ2KR3ET444310,under evaluation
supplier 3,toxic whisper,1G4HC5EM1AU699213,recalled
supplier 3,firestorm annihilator,WAUAFAFL9EA711155,undergoing training
supplier 2,guardian veil,1GYFK16209R795279,under evaluation
supplier 1,cyclone blades,JTHBP5C23B5827963,awaiting deployment
supplier 2,ghosteye,WAUUFAFH2AN257701,undergoing testing
supplier 3,quantum pulse,5NPEB4AC5CH142061,destroyed
supplier 4,firestorm annihilator,WBA3A5C54FF966952,in transit
supplier 3,whisperer,1G4HD57258U728490,surveillance mode
supplier 1,silent serenity,1FMJK1H56BE351255,in transit
supplier 3,twilight striker,WBA3B1C57FK310452,active
supplier 2,toxic whisper,2HNYD28878H999750,retired
supplier 5,sonic eclipse,5TFBW5F11CX208288,standby
supplier 5,havoc quake,WAULC58E83A684681,undergoing training
supplier 5,sonic eclipse,5N1BA0NE5FN470140,under repair
supplier 4,cyclone blades,3D7TT2CT3AG857955,reserve
supplier 2,havoc quake,WAUHF98P77A447417,in transit
supplier 4,nightfall reaper,1G6DF5EY3B0788287,in development
supplier 4,quantum pulse,1G4GA5EC6BF896814,emergency standby
supplier 4,shadow shard,KNAGM4AD6B5953729,reserve
supplier 5,storm surge,JN8AZ1MU4DW067592,critical condition
supplier 1,silent serenity,1FADP5AU5EL374109,active
supplier 2,spectral storm,2HKRM3H5XFH572850,under analysis
supplier 5,cyclone blades,19UUA8F73DA449661,under evaluation
supplier 5,ghosteye,JN8AZ1MU0AW243887,in transit
supplier 1,talon shroud,JN8AZ1FY1CW815746,under analysis
supplier 3,thunderclap enforcer,5UXWZ7C55F0423115,inactive
supplier 1,serpent wrath,JN1CV6EK8DM724127,under analysis
supplier 5,cyclone viper,137ZA83381E507907,undergoing testing
supplier 3,inferno wraith,KMHTC6AD6EU363617,reassigned
supplier 5,inferno wraith,1C6RD7FPXCS044175,standby
supplier 4,phantom fury,2LMDJ6JC0AB630708,reserve
supplier 1,cyclone blades,WBA3B3G50FN789270,undergoing upgrades
supplier 1,talon shroud,JN1CV6EK7BM397006,under analysis
supplier 1,talon shroud,WAUCFAFCXFN663894,undergoing training
supplier 1,guardian veil,KM8NU4CC0CU814407,under analysis
supplier 5,quantum pulse,JN1BY1AP1FM034441,surveillance mode
supplier 5,quantum pulse,YV1952AS8D1260984,retired
supplier 4,nebula blaze,WAUHF78P57A182355,critical condition
supplier 1,quantum pulse,3VW4A7AT0DM904608,reassigned
supplier 1,serpent wrath,1G4HA5EM4BU388463,inactive
supplier 4,havoc quake,WA1CMBFP3EA791413,destroyed
supplier 3,spectral storm,WBASN2C54CC028820,lost in action
supplier 3,firestorm annihilator,1FADP5AU0FL166916,in development
supplier 5,phantom fury,5N1AR1NB4AC952795,inactive
supplier 1,ghosteye,WAUJT68E92A187991,standby
supplier 4,havoc quake,JN1AZ4EH3BM101841,under repair
