0,1,2,3
supplier 3,vtol,3VWJX7AJ4AM939521,in development
supplier 2,high-altitude uav,WAUDV74FX8N477170,temporary storage
supplier 1,fixed-wing uav,KMHFH4JG4FA344435,reassigned
supplier 0,vtol,JTDZN3EU8FJ377961,recalled
supplier 3,glider,JTDZN3EU3E3998916,recalled
supplier 5,surveillance uav,WAUDGAFL2BA929458,undergoing training
supplier 5,armed uav,WAUMF78K39A552014,in transit
supplier 0,aerial,3VW517AT8FM702008,awaiting deployment
supplier 4,nano,3GYFNEE36CS970759,undergoing upgrades
supplier 4,stealth,JH4CU2F65DC471752,under repair
supplier 4,armed uav,1GD220CG0CZ779259,under maintenance
supplier 2,hover,WBAWL1C59AP962723,undergoing upgrades
supplier 0,tactical,4USBT53453L891282,under analysis
supplier 0,reconnaissance uav,5FNRL5H22CB530042,undergoing testing
supplier 1,tactical,WBA6A0C56FG081937,under evaluation
supplier 5,high-altitude uav,1FBNE3BL3CD127288,under maintenance
supplier 4,micro,3C4PDCGB3FT334739,under repair
supplier 1,nano,WAULL44E96N971279,recalled
supplier 0,armed uav,WDDNG9FB7CA516097,surveillance mode
supplier 0,reconnaissance uav,WVWBB7AJ8DW029364,lost in action
supplier 5,nano,5XXGM4A7XEG097915,standby
supplier 1,glider,SALAF2D49AA655239,active
supplier 5,stealth,WAUDL64F35N660275,under repair
supplier 2,reconnaissance uav,WBAEH73435B463331,active
supplier 0,surveillance uav,1HGCP2E33BA332326,destroyed
supplier 4,surveillance,3VWJX7AJ0AM886106,retired
supplier 1,tactical,1G6DE5E50D0821323,awaiting deployment
supplier 4,high-altitude uav,WAURVAFA5AN363622,active
supplier 3,surveillance,5TDDK3DCXDS906631,reassigned
supplier 5,aerial,WAUKH78E27A576040,covert operation
supplier 2,mav,WA1DVBFE4AD779909,recalled
supplier 3,vtol,SCBCR7ZA2AC804178,emergency standby
supplier 0,stealth recon,19UYA42512A728277,undergoing testing
supplier 2,tactical,JN1AZ4FH8FM483496,undergoing upgrades
supplier 0,tactical,WAULK78K99N178606,covert operation
supplier 4,hover,WA1YD64B95N670379,surveillance mode
supplier 0,aerial,1GYS3CKJ9FR541845,emergency standby
supplier 0,mav,WBA3X5C59FD181062,standby
supplier 0,surveillance uav,JTJHY7AX6B4065461,under maintenance
supplier 0,autonomous,1G6AB5SX9E0396977,destroyed
supplier 4,high-altitude uav,WBAFR7C50CC662788,under maintenance
supplier 4,hover,1N6AA0EK5FN875112,retired
supplier 4,surveillance uav,WAUDF98E78A930114,standby
supplier 4,tactical,WAUEKAFB6AN988949,undergoing upgrades
supplier 3,stealth recon,WAURGAFD0DN726045,emergency standby
supplier 3,stealth,WA1DGBFE1BD818659,awaiting deployment
supplier 0,reconnaissance uav,JM1NC2MF3E0337972,reassigned
supplier 0,armed uav,1FA6P0G77F5666959,under evaluation
supplier 3,stealth recon,3C6LD5BT7CG017049,under maintenance
supplier 5,nano,1G4PP5SKXD4428481,covert operation
supplier 2,mav,1N6AF0KX3EN499073,retired
supplier 4,stealth recon,JM1NC2JF4D0449800,lost in action
supplier 0,stealth recon,5GAKRBED6BJ689773,reserve
supplier 3,stealth,1FMJK1H55CE985741,surveillance mode
supplier 3,nano,2C3CCAEG4DH081056,destroyed
supplier 0,recon,1GT022CG7EF979910,in transit
supplier 5,hover,JTHFE2C21E2475493,under analysis
supplier 4,hover,1FTEW1E81AF962120,in development
supplier 3,security,WAUFGBFC1DN072950,reassigned
supplier 1,aerial,5UXFG83598L192250,undergoing testing
supplier 5,stealth recon,WBABN534X1J895611,standby
supplier 2,glider,1HGCR2E73FA019196,lost in action
supplier 5,fixed-wing uav,JN1AZ4EH8FM220281,awaiting deployment
supplier 3,autonomous,JTHFF2C24D2088450,under analysis
supplier 2,armed uav,3VW517AT9FM544844,inactive
supplier 5,vtol,TRUSC28N331236495,covert operation
supplier 1,surveillance uav,WVWAB7AJ3DW863053,under analysis
supplier 0,hover,JHMGE8G21AS545313,under analysis
supplier 1,mini,JTHBB1BA3C2979289,in development
supplier 5,hover,JH4CU2E80DC580896,under evaluation
supplier 0,stealth recon,1FMCU4K38CK446480,active
supplier 3,reconnaissance uav,1G4PP5SK4E4429580,retired
supplier 3,hover,3N1BC1AP0BL953365,destroyed
supplier 1,autonomous,2G4WE537151394293,critical condition
supplier 4,glider,YV1940AS0B1002804,in development
supplier 3,reconnaissance uav,1FTWW3A51AE262356,undergoing training
supplier 3,mav,2D4RN4DE4AR758567,undergoing training
supplier 5,mav,JN1AZ4EH5DM196132,awaiting deployment
supplier 2,vtol,WAUNF78P56A821013,lost in action
supplier 3,surveillance uav,1G4GA5EC9AF159606,recalled
supplier 0,surveillance uav,WBAEA53558C285583,undergoing upgrades
supplier 2,fixed-wing uav,5UXFE83529L892909,reassigned
supplier 2,high-altitude uav,JN8AS1MU0CM313374,standby
supplier 1,armed uav,JM1GJ1T62F1766185,critical condition
supplier 4,stealth,2G4WS52J111522161,critical condition
supplier 2,hover,5N1BA0ND8FN249655,emergency standby
supplier 5,surveillance,2G4GX5GVXB9141431,under analysis
supplier 3,high-altitude uav,WAUBF78K79N195016,retired
supplier 1,high-altitude uav,WA1LGBFE2ED922612,under repair
supplier 0,high-altitude uav,SALGS2TF8FA362819,awaiting deployment
supplier 0,reconnaissance uav,1G6DJ577X80078654,inactive
supplier 2,recon,JA4AP3AU0BZ861822,undergoing upgrades
supplier 5,nano,JA32U1FU8CU682120,under evaluation
supplier 0,glider,1N6AD0CU6EN338887,destroyed
supplier 0,armed uav,1N4AA5AP6DC359714,temporary storage
supplier 5,reconnaissance uav,1G6AB5RX5E0563258,surveillance mode
supplier 3,mav,WAULT68E34A832260,active
supplier 4,tactical,1ZVBP8JS9C5689298,recalled
supplier 2,reconnaissance uav,1G6DL1E34C0972953,under analysis
supplier 0,high-altitude uav,WBAPK73529A470009,recalled
supplier 2,hover,KMHHT6KD3CU636028,in transit
supplier 1,mav,WAUSFBFL5AA045898,lost in action
supplier 1,reconnaissance uav,JN1AY1AP6CM832246,under repair
supplier 0,armed uav,KNDPB3A22C7501428,emergency standby
supplier 3,nano,TRUTC28N121560502,emergency standby
supplier 0,mav,3VW507AT0FM592185,under repair
supplier 1,micro,19UUA566X3A366457,active
supplier 5,hover,JTDKN3DU3B0907000,surveillance mode
supplier 3,high-altitude uav,1GYEK63N46R971110,retired
supplier 1,mini,1GYS3AEF5CR279698,critical condition
supplier 4,mini,5GADV23W27D978535,critical condition
supplier 0,high-altitude uav,2G4WC582871358459,under repair
supplier 1,tactical,1FTEW1C87FF304294,active
supplier 1,autonomous,WAUKD78P49A042490,recalled
supplier 2,high-altitude uav,3VWKX7AJ2CM229007,under repair
supplier 2,stealth,WAUVC68E42A393883,recalled
supplier 3,mav,WAUEFAFL3FA174530,under evaluation
supplier 0,autonomous,2C3CDXFG2DH609031,undergoing upgrades
supplier 4,surveillance,1G6AT5SX5E0825173,retired
supplier 5,fixed-wing uav,JA4AS2AW2DU698777,standby
supplier 1,mav,WAUBFBFLXAN119888,emergency standby
supplier 4,hover,1GD01ZCG6BF555881,undergoing upgrades
supplier 3,mini,1FMJK1HT6FE075261,active
supplier 4,autonomous,1GYUCCEF1AR305151,retired
supplier 2,glider,WAUXL68E44A497320,reserve
supplier 2,armed uav,JTEBU5JR2E5555643,undergoing testing
supplier 2,nano,1C3CDFBA3DD748982,critical condition
supplier 4,surveillance uav,WVWAB7AJ6DW158358,lost in action
supplier 0,autonomous,1GD11ZCG2CF922068,lost in action
supplier 5,nano,WP1AA2A24EL801545,temporary storage
supplier 2,armed uav,3D7JB1EP0BG306355,surveillance mode
supplier 3,security,2T1BURHE5FC626174,awaiting deployment
supplier 5,tactical,2G4GS5EC3B9992311,under repair
supplier 2,reconnaissance uav,WAULC68E85A999201,undergoing training
supplier 4,hover,YV1902AH4B1470207,recalled
supplier 3,stealth recon,1G6AC5SX7E0191462,undergoing testing
supplier 5,hover,JTDZN3EU0FJ110975,in development
supplier 4,fixed-wing uav,3N1CN7AP7FL078843,awaiting deployment
supplier 3,high-altitude uav,WA1DGAFP7FA966527,covert operation
supplier 5,stealth recon,1D7CE3GK7AS408644,lost in action
supplier 4,high-altitude uav,19UYA42751A636282,in development
supplier 2,vtol,1GD11ZCG5CF891897,under evaluation
supplier 0,hover,WAUDK78T49A557209,undergoing training
supplier 4,tactical,WAUAFAFC4CN056263,under evaluation
supplier 0,nano,1G6DL8EY8B0540451,emergency standby
supplier 2,surveillance,WA1C8AFP4DA865287,lost in action
supplier 0,mini,1NXBE4EEXAZ349159,emergency standby
supplier 1,vtol,WUADUAFG7AN815464,under maintenance
supplier 1,micro,YV1612FH6D1435454,undergoing testing
supplier 4,reconnaissance uav,5LMJJ2H52EE736972,under maintenance
supplier 0,hover,1GD22ZCG1CZ252013,under analysis
supplier 1,nano,1B3CC5FB1AN777335,under analysis
supplier 5,reconnaissance uav,SCBDC47L29C210999,reassigned
supplier 2,surveillance,1G4HP57M99U388366,undergoing testing
supplier 4,nano,2HNYD18671H629140,retired
supplier 4,mini,WBAKG7C58BE364979,awaiting deployment
supplier 3,stealth,2LMDJ6JK5CB501891,undergoing upgrades
supplier 1,security,WA1CGAFE6BD829534,under analysis
supplier 5,high-altitude uav,1FTEW1CW8AK284524,under evaluation
supplier 1,stealth recon,3C3CFFER0ET785222,under analysis
supplier 0,stealth recon,1G6KD54Y21U657891,destroyed
supplier 1,security,YV440MBK1F1207715,destroyed
supplier 0,nano,WAUDF78E08A816895,emergency standby
