0,1,2,3
supplier 0,armed uav,5N1AA0NC6BN447437,recalled
supplier 0,micro,1N6AD0CW7EN884440,emergency standby
supplier 2,hover,3N1CE2CP7FL025477,recalled
supplier 4,surveillance uav,1FAHP3GN5AW077808,standby
supplier 5,micro,1N6AA0CJ1FN800952,awaiting deployment
supplier 0,security,WBA1J9C51FV646086,undergoing training
supplier 0,mini,WAUJC58E22A856290,lost in action
supplier 3,fixed-wing uav,WP0AA2A98CS876995,active
supplier 3,stealth recon,5BZAF0AA3FN021110,retired
supplier 0,tactical,WBAYA8C59ED645619,reassigned
supplier 3,high-altitude uav,19UUA66247A377687,critical condition
supplier 1,nano,WAUKG98E46A911456,in transit
supplier 1,hover,WDDHF7GB9EB463242,reserve
supplier 1,high-altitude uav,1G6KE57Y92U910750,critical condition
supplier 2,mini,1G6AB5R33F0898100,surveillance mode
supplier 2,security,5NPEB4AC1DH334790,active
supplier 1,nano,1FTMF1E88AK226052,recalled
supplier 0,surveillance uav,JH4NA21684T555010,covert operation
supplier 2,surveillance,WAUSGAFB1AN285750,emergency standby
supplier 0,aerial,JA4AD3A39FZ430112,retired
supplier 2,nano,SCFBF04BX7G556693,retired
supplier 0,reconnaissance uav,WAUMF68P46A180443,covert operation
supplier 4,nano,5TDBKRFH8ES234010,temporary storage
supplier 3,stealth recon,2C3CCAXJ3DH359969,surveillance mode
supplier 4,mini,3C4PDDBG6CT747999,retired
supplier 4,nano,1D7RE3BK9AS838516,destroyed
supplier 2,fixed-wing uav,SCFEBBEL9DG784482,reassigned
supplier 1,security,TRURD28N461352238,surveillance mode
supplier 3,nano,3D7TT2HT5BG380942,destroyed
supplier 4,high-altitude uav,1HGCR6F36FA285279,under maintenance
supplier 3,autonomous,1G6KF57901U371908,temporary storage
supplier 1,stealth recon,KNAFX5A8XF5298413,awaiting deployment
supplier 4,mini,JTHBB1BA7C2543321,under repair
supplier 5,high-altitude uav,WBAWB73509P796366,under maintenance
supplier 2,autonomous,WAU2MAFC1EN101978,undergoing testing
supplier 3,mav,KL4CJESB5FB772698,undergoing upgrades
supplier 4,mini,1G6AB5RAXE0437425,retired
supplier 1,recon,1G6AY5S35F0358384,in development
supplier 1,armed uav,JH4NA21605S923476,lost in action
supplier 4,fixed-wing uav,WAUCFAFR0DA673357,awaiting deployment
supplier 0,aerial,3C3CFFBRXET121532,covert operation
supplier 3,security,WDBSK7AAXCF824235,undergoing upgrades
supplier 1,aerial,3GYFNGEYXBS633193,awaiting deployment
supplier 1,mini,1GD21ZCG5DZ470749,in development
supplier 2,recon,WBANA73574B616689,under analysis
supplier 5,tactical,WBA3B1G51FN153851,active
supplier 0,armed uav,WA1LMAFE5CD459526,emergency standby
supplier 2,nano,WAULT54B62N421396,under analysis
supplier 3,reconnaissance uav,WBA3B1C58F5733863,undergoing testing
supplier 4,hover,1G6AD5S36D0538739,covert operation
supplier 4,aerial,WAUVT58E75A641350,retired
supplier 3,fixed-wing uav,1G6DK8EV9A0183529,retired
supplier 1,aerial,WBSWD93528P833207,active
supplier 3,mav,1GYFC66858R966864,covert operation
supplier 0,security,3D4PG6FV9AT454707,covert operation
supplier 0,mini,WBALL5C50EE332603,covert operation
supplier 3,recon,1FMHK7B87CG871782,standby
supplier 0,tactical,19XFB4F22FE878808,standby
supplier 3,recon,1G4GD5GD3BF076476,recalled
supplier 4,autonomous,WBAVM5C53FV226153,standby
supplier 1,surveillance uav,1FTEW1CW7AF330465,under evaluation
supplier 2,security,WAUHF68P76A027296,awaiting deployment
supplier 2,recon,WAUDFBFC4CN744587,under repair
supplier 3,surveillance uav,5UXZW0C53C0347774,under evaluation
supplier 4,reconnaissance uav,4T1BK1EB2FU803117,in development
supplier 5,fixed-wing uav,WBAYP1C51FD524851,undergoing training
supplier 0,tactical,5UXFB33572L158199,under analysis
supplier 1,vtol,WVWAP7ANXDE946926,recalled
supplier 4,fixed-wing uav,1GYS4AEF6DR521302,destroyed
supplier 0,glider,1N6AF0LY4FN435648,critical condition
supplier 5,surveillance,5UXWX9C55DL331631,undergoing testing
