INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2005-07-25','2006-11-03','989 994 8328','Port Sudan','SD','active',1);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2023-01-26','2019-05-16','620 700 5607','Port Sudan','SD','interception',2);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2022-09-10','2021-04-28','714 756 6989','Port Sudan','SD','undercover',3);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2020-06-29','2012-06-10','857 956 8450','Long Beluah','ID','extraction',4);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2012-07-22','2018-02-01','751 829 8387','Yongyang','CN','cancelled',5);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2011-10-27','2011-07-23','356 977 5383','Aizi','CN','completed',6);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2014-09-24','2006-07-20','295 394 4241','Port Sudan','SD','infiltration',7);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2008-08-10','2031-08-18','862 106 3687','Qazax','AZ','reconnaissance',8);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2020-03-26','2034-03-17','880 399 1546','Daguyun','CN','undercover surveillance',9);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2011-06-20','2034-09-09','537 470 2706','Hedaru','TZ','cancelled',10);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2017-01-20','2018-03-11','608 788 1999','Muricay','PH','delayed',11);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2008-11-02','2022-02-18','167 774 9942','Nadi','FJ','rescue',12);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2014-11-05','2034-06-04','716 809 6812','Enskede','SE','compromised',13);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2009-10-11','2008-05-26','153 204 4245','SaatlÄ±','AZ','compromised',14);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2005-03-08','2024-09-02','773 395 1141','Mariinsk','RU','surveillance',15);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2020-02-07','2013-01-12','520 373 4947','Jianggu','CN','completed',16);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2011-11-20','2009-07-06','175 803 2657','Sotomayor','BO','interception',17);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2021-03-10','2009-04-05','861 655 8704','Sherwood Park','CA','delayed',18);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2006-08-12','2017-09-09','787 134 5855','Karvia','FI','surveillance',19);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2011-06-28','2017-08-13','496 635 9824','Ludvika','SE','undercover',20);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2023-03-15','2018-12-08','426 970 5384','Balengbeng','ID','covert',21);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2010-02-01','2020-08-27','226 888 4676','Brikama','GM','covert action',22);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2015-06-05','2029-04-28','745 870 5992','Miskolc','HU','covert',23);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2021-06-04','2021-10-08','831 391 0357','Cachachi','PE','high priority',24);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2018-11-12','2018-02-06','648 348 8522','Drammen','NO','compromised',25);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2019-05-07','2019-02-20','869 377 8420','Atolina','BY','surveillance',26);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2010-06-07','2021-12-25','301 603 6146','Mogocha','RU','cancelled',27);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2009-03-02','2007-07-13','754 432 7814','Fort Lauderdale','US','extraction',28);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2019-10-26','2017-01-26','704 927 8208','Andekantor','ID','compromised',29);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2017-05-15','2020-06-10','993 151 3497','Pubal','KR','interception',30);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2019-11-21','2034-07-20','514 276 5305','Port Sudan','SD','completed',31);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2015-10-16','2024-05-24','914 543 4011','Agraharam','IN','reconnaissance',32);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2019-07-20','2019-08-19','523 242 4366','Dongzhou','CN','infiltration',33);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2011-01-05','2015-04-13','101 865 4744','Gameleira','BR','infiltration',34);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2009-07-26','2032-02-29','944 905 4369','Hengyang','CN','interception',35);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2009-04-27','2017-11-06','109 193 9140','Hinunangan','PH','ongoing',36);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2008-03-31','2021-02-23','792 574 8713','Kuala Lumpur','MY','extraction',37);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2015-04-17','2020-08-13','805 657 0959','Cerro Blanco','HN','active',38);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2020-07-25','2020-07-11','869 217 8251','Tahilt','MN','extraction',39);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2015-01-10','2017-07-09','894 985 6378','Port Sudan','SD','surveillance',40);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2012-12-14','2011-03-01','547 644 0578','Padangtepung','ID','under review',41);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2006-03-21','2009-03-19','908 476 0881','Sanxi','CN','active',42);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2009-10-04','2020-06-08','156 389 5998','Futuroscope','FR','under review',43);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2023-08-07','2032-01-15','208 701 4663','Sabang','PH','extraction',44);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2005-08-29','2013-04-19','111 765 8949','Los Pinos','MX','infiltration',45);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2017-08-29','2028-09-10','395 725 0901','Port Sudan','SD','covert',46);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2005-11-28','2019-01-27','631 731 2492','Ryjewo','PL','under review',47);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2011-07-20','2011-09-12','344 195 1707','Pavshino','RU','cancelled',48);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2022-07-17','2017-12-17','404 982 5516','Xuebu','CN','infiltration',49);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2016-11-02','2015-10-08','854 771 0370','Soca','UY','covert action',50);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2017-06-21','2024-03-26','193 172 5104','Kelodan','ID','under review',51);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2012-10-01','2034-06-02','510 651 2865','Kalamangog','PH','interception',52);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2017-10-04','2016-12-08','801 470 4890','Paris 12','FR','undercover surveillance',53);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2010-12-02','2007-01-08','746 966 3793','Lindong','CN','infiltration',54);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2005-01-28','2021-03-10','768 521 7236','Pucheng','CN','undercover',55);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2008-02-19','2028-05-28','936 668 8209','Palma De Mallorca','ES','completed',56);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2022-04-03','2025-09-08','805 990 9674','Pasirputih','ID','completed',57);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2019-12-14','2021-04-12','745 771 4135','Port Sudan','SD','covert action',58);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2019-12-15','2027-08-06','353 821 6890','Port Sudan','SD','undercover surveillance',59);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2007-08-26','2012-11-14','124 826 9205','Bokor','ID','cancelled',60);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2013-07-05','2030-12-28','229 931 7559','Warri','NG','cancelled',61);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2018-07-15','2019-06-15','727 325 3946','Port Sudan','SD','undercover',62);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2010-09-17','2027-01-10','704 311 8055','Vila Nova','PT','covert action',63);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2009-06-06','2028-12-10','729 710 5197','Shazi','CN','high priority',64);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2021-01-03','2013-07-13','893 782 4269','Wanling','CN','undercover',65);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2023-04-07','2022-02-06','539 854 3672','Nantuo','CN','extraction',66);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2008-07-13','2024-03-03','927 758 6449','Gampang','ID','undercover surveillance',67);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2013-11-08','2008-04-30','384 579 4690','Huangzhu','CN','undercover',68);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2010-01-27','2033-07-17','762 958 7293','Port Sudan','SD','compromised',69);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2021-11-01','2029-07-05','340 375 2642','Port Sudan','SD','cancelled',70);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2017-02-19','2010-11-18','832 261 0062','Port Sudan','SD','compromised',71);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2010-04-14','2008-07-01','843 372 0053','Perfilovo','RU','interception',72);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2020-05-26','2010-05-23','389 476 8913','Port Sudan','SD','cancelled',73);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2007-08-27','2030-04-13','225 882 2469','Waishan','CN','interception',74);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2018-10-15','2020-03-09','597 205 3031','Jawor','PL','counterintelligence',75);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2013-06-11','2027-03-30','405 504 6196','Port Sudan','SD','extraction',76);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2010-07-15','2029-07-23','244 993 8408','Nanzamu','CN','rescue',77);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2015-12-19','2006-09-22','133 926 0190','Paratunka','RU','covert',78);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2021-09-01','2018-05-02','658 797 9182','Cirahab','ID','active',79);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2017-02-27','2009-09-08','454 794 2951','A Yun Pa','VN','ongoing',80);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2018-08-17','2025-12-20','719 144 5564','Wolofeo','ID','infiltration',81);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2005-03-20','2013-01-06','237 684 3037','Hamm','DE','surveillance',82);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2018-02-03','2014-08-16','659 223 2296','Ban Nahin','LA','cancelled',83);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2016-10-03','2019-09-21','601 907 8937','Lovas','HR','interception',84);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2012-05-10','2007-03-31','702 986 0742','Tibati','CM','cancelled',85);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2006-06-05','2015-02-10','933 949 9245','Port Sudan','SD','delayed',86);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2018-09-04','2020-06-05','937 817 9602','Beijiang','CN','infiltration',87);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2023-01-11','2016-09-01','276 447 2517','Pucara','PE','surveillance',88);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2010-12-17','2024-01-25','943 369 6699','Julayjilah','SA','under review',89);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2018-09-13','2016-05-10','552 264 6260','Bordeaux','FR','compromised',90);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2005-04-16','2013-04-29','463 600 9287','Shanhe','CN','under review',91);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2005-12-29','2030-04-18','108 927 5102','Nagano-shi','JP','cancelled',92);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2008-10-19','2023-12-28','101 177 2801','Clarin','PH','counterintelligence',93);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2016-02-22','2027-07-07','441 315 5733','Yacheng','CN','high priority',94);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2018-03-17','2011-11-05','652 302 8439','Vanves','FR','completed',95);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2008-05-14','2028-06-07','485 883 4884','Verenchanka','UA','delayed',96);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2006-08-03','2025-10-05','203 838 8613','Norwalk','US','interception',97);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2011-06-05','2026-05-29','388 252 7021','Ponte da Pedra','PT','rescue',98);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2019-05-11','2018-08-09','677 246 0040','Foumbouni','KM','covert',99);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2021-02-11','2018-04-18','604 995 1899','Pithoro','PK','undercover surveillance',100);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2013-02-07','2026-08-23','977 755 0540','Shatoja','PE','high priority',101);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2011-12-11','2033-01-30','311 969 8217','Beigao','CN','covert action',102);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2018-07-13','2026-02-24','279 630 4517','Port Sudan','SD','rescue',103);
